Tweet;label;Tweet_Parsed_1;Tweet_Parsed_2;Tweet_Parsed_3;Tweet_Parsed_4
model hpnya ga unik tuh, modelnya mirip yang seris xr;general negatif;model hpnya ga unik tuh, modelnya mirip yang seris xr;model hpnya ga unik tuh, modelnya mirip yang seris xr;model hpnya ga unik tuh modelnya mirip yang seris xr;model hpnya tidak unik tuh modelnya mirip yang seris xr
model layarnya sama kaya seris lain, kesannya jadi keliatan jadul padahal keluaran baru;general negatif;model layarnya sama kaya seris lain, kesannya jadi keliatan jadul padahal keluaran baru;model layarnya sama kaya seris lain, kesannya jadi keliatan jadul padahal keluaran baru;model layarnya sama kaya seris lain kesannya jadi keliatan jadul padahal keluaran baru;model layarnya sama kaya seris lain kesannya jadi keliatan jadul padahal keluaran baru
modelnya kaya yang murahan;general negatif;modelnya kaya yang murahan;modelnya kaya yang murahan;modelnya kaya yang murahan;modelnya kaya yang murahan
layar bezelnya masih tebel kaya seris yang lama, ga enak liatanya;general negatif;layar bezelnya masih tebel kaya seris yang lama, ga enak liatanya;layar bezelnya masih tebel kaya seris yang lama, ga enak liatanya;layar bezelnya masih tebel kaya seris yang lama ga enak liatanya;layar bezelnya masih tebel kaya seris yang lama tidak enak liatanya
dalam kardusnya cuma ada hp sama kabel doang, buat earpodnya harus beli terpisah;general negatif;dalam kardusnya cuma ada hp sama kabel doang, buat earpodnya harus beli terpisah;dalam kardusnya cuma ada hp sama kabel doang, buat earpodnya harus beli terpisah;dalam kardusnya cuma ada hp sama kabel doang buat earpodnya harus beli terpisah;dalam kardusnya cuma ada iphone sama kabel doang buat earpodnya harus beli terpisah
warnanya jelek, ga keliatan mewah mirip hp murah;general negatif;warnanya jelek, ga keliatan mewah mirip hp murah;warnanya jelek, ga keliatan mewah mirip hp murah;warnanya jelek ga keliatan mewah mirip hp murah;warnanya jelek tidak keliatan mewah mirip iphone murah
layarnya udah ips ternyata, jadi lebih enak liatnya;spesifikasi positif;layarnya udah ips ternyata, jadi lebih enak liatnya;layarnya udah ips ternyata, jadi lebih enak liatnya;layarnya udah ips ternyata jadi lebih enak liatnya;layarnya udah ips ternyata jadi lebih enak liatnya
spesifikasinya keren, pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasi positif;spesifikasinya keren, pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasinya keren, pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasinya keren pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasinya keren menggunakan chip a13 yang katanya cpu dan gpu ponsel tercepat
layarnya udah pake teknologi LiquidRetina LCD, jadinya keliatan lebih tajam dan jelas;spesifikasi positif;layarnya udah pake teknologi LiquidRetina LCD, jadinya keliatan lebih tajam dan jelas;layarnya udah pake teknologi liquidretina lcd, jadinya keliatan lebih tajam dan jelas;layarnya udah pake teknologi liquidretina lcd jadinya keliatan lebih tajam dan jelas;layarnya udah menggunakan teknologi liquidretina lcd jadinya keliatan lebih tajam dan jelas
yang terlihat di layar kaya yang nyata banget, sumpah bagus banget ini spesifikasinya;spesifikasi positif;yang terlihat di layar kaya yang nyata banget, sumpah bagus banget ini spesifikasinya;yang terlihat di layar kaya yang nyata banget, sumpah bagus banget ini spesifikasinya;yang terlihat di layar kaya yang nyata banget sumpah bagus banget ini spesifikasinya;yang terlihat di layar kaya yang nyata sekali sumpah bagus sekali ini spesifikasinya
layarnya lebih sensitif dari seris yang lama, enak banget pakenya;spesifikasi positif;layarnya lebih sensitif dari seris yang lama, enak banget pakenya;layarnya lebih sensitif dari seris yang lama, enak banget pakenya;layarnya lebih sensitif dari seris yang lama enak banget pakenya;layarnya lebih sensitif dari seris yang lama enak sekali pakenya
puas banget beli hp ip 11, walaupun mahal tapi spesifikasinya memuaskan;spesifikasi positif,harga negatif;puas banget beli hp ip 11, walaupun mahal tapi spesifikasinya memuaskan;puas banget beli hp ip 11, walaupun mahal tapi spesifikasinya memuaskan;puas banget beli hp ip 11 walaupun mahal tapi spesifikasinya memuaskan;puas sekali beli iphone iphone 11 walaupun mahal tapi spesifikasinya memuaskan
layarnya lebar 6,1 inchi jadi enak di pake nonton dan main game;spesifikasi positif;layarnya lebar 6,1 inchi jadi enak di pake nonton dan main game;layarnya lebar 6,1 inchi jadi enak di pake nonton dan main game;layarnya lebar 6 1 inchi jadi enak di pake nonton dan main game;layarnya lebar 6 1 inchi jadi enak di menggunakan nonton dan main game
audionya pake dolby guys, jadi suaranya jernih;spesifikasi positif;audionya pake dolby guys, jadi suaranya jernih;audionya pake dolby guys, jadi suaranya jernih;audionya pake dolby guys jadi suaranya jernih;audionya menggunakan dolby guys jadi suaranya jernih
kualitas layarnya oke banget, tingkat kecerahannya ga bikin mata sakit walau lama-lama liat layar;spesifikasi positif;kualitas layarnya oke banget, tingkat kecerahannya ga bikin mata sakit walau lama-lama liat layar;kualitas layarnya oke banget, tingkat kecerahannya ga bikin mata sakit walau lama-lama liat layar;kualitas layarnya oke banget tingkat kecerahannya ga bikin mata sakit walau lama lama liat layar;kualitas layarnya oke sekali tingkat kecerahannya tidak membuat mata sakit walau lama lama liat layar
gpu nya bagus banget, ngalah grapisnya kenceng;spesifikasi positif;gpu nya bagus banget, ngalah grapisnya kenceng;gpu nya bagus banget, ngalah grapisnya kenceng;gpu nya bagus banget ngalah grapisnya kenceng;gpu nya bagus sekali ngalah grapisnya kenceng
ga ada port buat headset, bikin ribet;spesifikasi negatif;ga ada port buat headset, bikin ribet;ga ada port buat headset, bikin ribet;ga ada port buat headset bikin ribet;tidak ada port buat headset membuat ribet
ip 11 fitur pengamannya jelek banget, pengitai jari aja ga ada;spesifikasi negatif;ip 11 fitur pengamannya jelek banget, pengitai jari aja ga ada;ip 11 fitur pengamannya jelek banget, pengitai jari aja ga ada;ip 11 fitur pengamannya jelek banget pengitai jari aja ga ada;iphone 11 fitur pengamannya jelek sekali pengitai jari aja tidak ada
ip 11 belom 5g, susah lagi deh nanti kalau di indo udah pada 5g;spesifikasi negatif;ip 11 belom 5g, susah lagi deh nanti kalau di indo udah pada 5g;ip 11 belom 5g, susah lagi deh nanti kalau di indo udah pada 5g;ip 11 belom 5g susah lagi deh nanti kalau di indo udah pada 5g;iphone 11 belom 5g susah lagi deh nanti kalau di indo udah pada 5g
RAM nya ga ada yange lebih gede kah, dikit amat kasihnya, padahal hp mahal;spesifikasi negatif,harga negatif;RAM nya ga ada yange lebih gede kah, dikit amat kasihnya, padahal hp mahal;ram nya ga ada yange lebih gede kah, dikit amat kasihnya, padahal hp mahal;ram nya ga ada yange lebih gede kah dikit amat kasihnya padahal hp mahal;ram nya tidak ada yange lebih besar kah dikit amat kasihnya padahal iphone mahal
belum bisa 5g hpnya, padahal harganya ga murah loh;spesifikasi negatif,harga negatif;belum bisa 5g hpnya, padahal harganya ga murah loh;belum bisa 5g hpnya, padahal harganya ga murah loh;belum bisa 5g hpnya padahal harganya ga murah loh;belum bisa 5g hpnya padahal harganya tidak murah loh
ga ada radionya wkwk, dari dulu biasa denger radio jadi ga bisa deh gara-gara ganti hp;spesifikasi negatif;ga ada radionya wkwk, dari dulu biasa denger radio jadi ga bisa deh gara-gara ganti hp;ga ada radionya wkwk, dari dulu biasa denger radio jadi ga bisa deh gara-gara ganti hp;ga ada radionya wkwk dari dulu biasa denger radio jadi ga bisa deh gara gara ganti hp;tidak ada radionya wkwk dari dulu biasa denger radio jadi tidak bisa deh gara gara ganti iphone
memori RAM nya kecil banget, gabisa pake banyak app sekaligus;spesifikasi negatif;memori RAM nya kecil banget, gabisa pake banyak app sekaligus;memori ram nya kecil banget, gabisa pake banyak app sekaligus;memori ram nya kecil banget gabisa pake banyak app sekaligus;memori ram nya kecil sekali gabisa menggunakan banyak aplikasi sekaligus
layarnya masih pake IPS, ga setajam dan secerah OLED;spesifikasi negatif;layarnya masih pake IPS, ga setajam dan secerah OLED;layarnya masih pake ips, ga setajam dan secerah oled;layarnya masih pake ips ga setajam dan secerah oled;layarnya masih menggunakan ips tidak setajam dan secerah oled
tidak mendukung buat pake headset nih, ga ada portnya jadi memang harus beli earpod;spesifikasi negatif;tidak mendukung buat pake headset nih, ga ada portnya jadi memang harus beli earpod;tidak mendukung buat pake headset nih, ga ada portnya jadi memang harus beli earpod;tidak mendukung buat pake headset nih ga ada portnya jadi memang harus beli earpod;tidak mendukung buat menggunakan headset nih tidak ada portnya jadi memang harus beli earpod
kecewa sih spesifikasinya ga sekeren yang diharapkan;spesifikasi negatif;kecewa sih spesifikasinya ga sekeren yang diharapkan;kecewa sih spesifikasinya ga sekeren yang diharapkan;kecewa sih spesifikasinya ga sekeren yang diharapkan;kecewa sih spesifikasinya tidak sekeren yang diharapkan
ganyesel deh beli iphone 11 kameranya bagus banget;kamera positif;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus sekali
iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu;kamera positif,general negatif;iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu;iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu;iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu;iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing begitu
ganyesel deh beli iphone 11 kameranya bagus banget;kamera positif;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus sekali
suka banget iphone 11 pro kamera ultra wide nya;kamera positif;suka banget iphone 11 pro kamera ultra wide nya;suka banget iphone 11 pro kamera ultra wide nya;suka banget iphone 11 pro kamera ultra wide nya;suka sekali iphone 11 pro kamera ultra wide nya
resolusinya sih kaya kamera slr;kamera positif;resolusinya sih kaya kamera slr;resolusinya sih kaya kamera slr;resolusinya sih kaya kamera slr;resolusinya sih kaya kamera slr
kenapa harus bagus banget nih kamera iphone;kamera positif;kenapa harus bagus banget nih kamera iphone;kenapa harus bagus banget nih kamera iphone;kenapa harus bagus banget nih kamera iphone;kenapa harus bagus sekali nih kamera iphone
kameranya bikin jatuh cinta;kamera positif;kameranya bikin jatuh cinta;kameranya bikin jatuh cinta;kameranya bikin jatuh cinta;kameranya membuat jatuh cinta
natural banget nih kamera;kamera positif;natural banget nih kamera;natural banget nih kamera;natural banget nih kamera;natural sekali nih kamera
iphone makin keatas makin keren kameranya;kamera positif;iphone makin keatas makin keren kameranya;iphone makin keatas makin keren kameranya;iphone makin keatas makin keren kameranya;iphone makin keatas makin keren kameranya
beli iphone karena suka kameranya haha;kamera positif;beli iphone karena suka kameranya haha;beli iphone karena suka kameranya haha;beli iphone karena suka kameranya haha;beli iphone karena suka kameranya haha
terlalu natural untuk muka ku yang jerawatan;kamera negatif;terlalu natural untuk muka ku yang jerawatan;terlalu natural untuk muka ku yang jerawatan;terlalu natural untuk muka ku yang jerawatan;terlalu natural untuk muka ku yang jerawatan
kameranya tetep tidak bikin muka glowing;kamera negatif;kameranya tetep tidak bikin muka glowing;kameranya tetep tidak bikin muka glowing;kameranya tetep tidak bikin muka glowing;kameranya tetep tidak membuat muka glowing
biasa aja asli kameranya;kamera negatif;biasa aja asli kameranya;biasa aja asli kameranya;biasa aja asli kameranya;biasa aja asli kameranya
beli iphone karena kamera doang juga masih banyak kali yang bagus;kamera negatif;beli iphone karena kamera doang juga masih banyak kali yang bagus;beli iphone karena kamera doang juga masih banyak kali yang bagus;beli iphone karena kamera doang juga masih banyak kali yang bagus;beli iphone karena kamera doang juga masih banyak sekali yang bagus
jatoh pas dibagian kamera langsung pecah;kamera negatif;jatoh pas dibagian kamera langsung pecah;jatoh pas dibagian kamera langsung pecah;jatoh pas dibagian kamera langsung pecah;jatoh  saat dibagian kamera langsung pecah
kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kamera negatif;kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kameranya terlalu menonjol jadi kalau taro meja kaya tergesek
kamera apa yang beda sih kaya sama aja;kamera negatif;kamera apa yang beda sih kaya sama aja;kamera apa yang beda sih kaya sama aja;kamera apa yang beda sih kaya sama aja;kamera apa yang beda sih kaya sama aja
terus aja tambah kameranya sampe 5 banyak bener;kamera negatif;terus aja tambah kameranya sampe 5 banyak bener;terus aja tambah kameranya sampe 5 banyak bener;terus aja tambah kameranya sampe 5 banyak bener;terus aja tambah kameranya sampe 5 banyak benar
biasa aja kameranya;kamera negatif;biasa aja kameranya;biasa aja kameranya;biasa aja kameranya;biasa aja kameranya
pori pori keliatan banget pake nih kamera;kamera negatif;pori pori keliatan banget pake nih kamera;pori pori keliatan banget pake nih kamera;pori pori keliatan banget pake nih kamera;pori pori keliatan sekali menggunakan nih kamera
kok aku merasa tidak boros ya baterainya iphone xr;baterai positif;kok aku merasa tidak boros ya baterainya iphone xr;kok aku merasa tidak boros ya baterainya iphone xr;kok aku merasa tidak boros ya baterainya iphone xr;kok aku merasa tidak boros ya baterainya iphone xr
cepet banget ke isi sih baterainya keren;baterai positif;cepet banget ke isi sih baterainya keren;cepet banget ke isi sih baterainya keren;cepet banget ke isi sih baterainya keren;cepat sekali ke isi sih baterainya keren
wah makin irit ya baterainya;baterai positif;wah makin irit ya baterainya;wah makin irit ya baterainya;wah makin irit ya baterainya;wah makin irit ya baterainya
gila ganyangka baterainya cepet ke isi;baterai positif;gila ganyangka baterainya cepet ke isi;gila ganyangka baterainya cepet ke isi;gila ganyangka baterainya cepet ke isi;sekali ganyangka baterainya cepat ke isi
wah udah pake sekian lama ternyata baterainya ga boros;baterai positif;wah udah pake sekian lama ternyata baterainya ga boros;wah udah pake sekian lama ternyata baterainya ga boros;wah udah pake sekian lama ternyata baterainya ga boros;wah udah menggunakan sekian lama ternyata baterainya tidak boros
seneng banget charge sebentar langsung penuh;baterai positif;seneng banget charge sebentar langsung penuh;seneng banget charge sebentar langsung penuh;seneng banget charge sebentar langsung penuh;seneng sekali charge sebentar langsung penuh
lebih cepet penuh baterainya daripada iphone dibawah x;baterai positif;lebih cepet penuh baterainya daripada iphone dibawah x;lebih cepet penuh baterainya daripada iphone dibawah x;lebih cepet penuh baterainya daripada iphone dibawah x;lebih cepat penuh baterainya daripada iphone dibawah x
ganyangka kirain iphone makin keatas baterainya makin boros ternyata malah irit;baterai positif;ganyangka kirain iphone makin keatas baterainya makin boros ternyata malah irit;ganyangka kirain iphone makin keatas baterainya makin boros ternyata malah irit;ganyangka kirain iphone makin keatas baterainya makin boros ternyata malah irit;ganyangka kirain iphone makin keatas baterainya makin boros ternyata malah irit
salut sama baterai iphone xr cepet terisi dan ga boros;baterai positif;salut sama baterai iphone xr cepet terisi dan ga boros;salut sama baterai iphone xr cepet terisi dan ga boros;salut sama baterai iphone xr cepet terisi dan ga boros;salut sama baterai iphone xr cepat terisi dan tidak boros
iphone makin canggih dan baterainya pun gabakal dikomen boros lagi haha;baterai positif,general positif;iphone makin canggih dan baterainya pun gabakal dikomen boros lagi haha;iphone makin canggih dan baterainya pun gabakal dikomen boros lagi haha;iphone makin canggih dan baterainya pun gabakal dikomen boros lagi haha;iphone makin canggih dan baterainya pun gabakal dikomen boros lagi haha
kata orang ga boros tapi kok tetep sih;baterai negatif;kata orang ga boros tapi kok tetep sih;kata orang ga boros tapi kok tetep sih;kata orang ga boros tapi kok tetep sih;kata orang tidak boros tapi kok tetep sih
siapa yang bilang ga boros tetep boros tau;baterai negatif;siapa yang bilang ga boros tetep boros tau;siapa yang bilang ga boros tetep boros tau;siapa yang bilang ga boros tetep boros tau;siapa yang bilang tidak boros tetep boros tau
kesel banget iphone tuh hp terboros ya soal baterai;baterai negatif;kesel banget iphone tuh hp terboros ya soal baterai;kesel banget iphone tuh hp terboros ya soal baterai;kesel banget iphone tuh hp terboros ya soal baterai;kesel sekali iphone tuh iphone terboros ya soal baterai
rasanya pingin baterai seirit nokia tapi hp tetep iphone haha boros banget sih asli iphone;baterai negatif;rasanya pingin baterai seirit nokia tapi hp tetep iphone haha boros banget sih asli iphone;rasanya pingin baterai seirit nokia tapi hp tetep iphone haha boros banget sih asli iphone;rasanya pingin baterai seirit nokia tapi hp tetep iphone haha boros banget sih asli iphone;rasanya pingin baterai seirit nokia tapi iphone tetep iphone haha boros sekali sih asli iphone
terimakasih baterai iphone membuat saya harus membawa charger terus;baterai negatif;terimakasih baterai iphone membuat saya harus membawa charger terus;terimakasih baterai iphone membuat saya harus membawa charger terus;terimakasih baterai iphone membuat saya harus membawa charger terus;terimakasih baterai iphone membuat saya harus membawa charger terus
sehari bisa berapa kali charge boros parah;baterai negatif;sehari bisa berapa kali charge boros parah;sehari bisa berapa kali charge boros parah;sehari bisa berapa kali charge boros parah;sehari bisa berapa sekali charge boros parah
sudah setahun kirain bakal irit ternyata makin boros baterainya;baterai negatif;sudah setahun kirain bakal irit ternyata makin boros baterainya;sudah setahun kirain bakal irit ternyata makin boros baterainya;sudah setahun kirain bakal irit ternyata makin boros baterainya;sudah setahun kirain bakal irit ternyata makin boros baterainya
fitur bagus, warna lucunya menggiurkan tapi baterai yang harus dipikirkan ketahanannya;baterai negatif,general positif;fitur bagus, warna lucunya menggiurkan tapi baterai yang harus dipikirkan ketahanannya;fitur bagus, warna lucunya menggiurkan tapi baterai yang harus dipikirkan ketahanannya;fitur bagus warna lucunya menggiurkan tapi baterai yang harus dipikirkan ketahanannya;fitur bagus warna lucunya menggiurkan tapi baterai yang harus dipikirkan ketahanannya
menurut ku sih ya, udah harga mahal baterai boros lengkap sudah;baterai negatif,harga negatif;menurut ku sih ya, udah harga mahal baterai boros lengkap sudah;menurut ku sih ya, udah harga mahal baterai boros lengkap sudah;menurut ku sih ya udah harga mahal baterai boros lengkap sudah;menurut ku sih ya udah harga mahal baterai boros lengkap sudah
harusnya kalau makin canggih, baterai juga dong daya tahan nya lebih lama;baterai negatif;harusnya kalau makin canggih, baterai juga dong daya tahan nya lebih lama;harusnya kalau makin canggih, baterai juga dong daya tahan nya lebih lama;harusnya kalau makin canggih baterai juga dong daya tahan nya lebih lama;harusnya kalau makin canggih baterai juga dong daya tahan nya lebih lama
iphone berguna bagi kalangan remaja ya;general positif;iphone berguna bagi kalangan remaja ya;iphone berguna bagi kalangan remaja ya;iphone berguna bagi kalangan remaja ya;iphone berguna bagi kalangan remaja ya
fitur iphone selalu bikin ketagihan huaaa pgn beli iphone 11;general positif;fitur iphone selalu bikin ketagihan huaaa pgn beli iphone 11;fitur iphone selalu bikin ketagihan huaaa pgn beli iphone 11;fitur iphone selalu bikin ketagihan huaaa pgn beli iphone 11;fitur iphone selalu membuat ketagihan huaaa pgn beli iphone 11
lucu banget warna warnanya iphone 11 series;general positif;lucu banget warna warnanya iphone 11 series;lucu banget warna warnanya iphone 11 series;lucu banget warna warnanya iphone 11 series;bagus sekali warna warnanya iphone 11 series
semenjak pake iphone 11 pro teman teman ku selalu meminjam untuk foto foto;general positif;semenjak pake iphone 11 pro teman teman ku selalu meminjam untuk foto foto;semenjak pake iphone 11 pro teman teman ku selalu meminjam untuk foto foto;semenjak pake iphone 11 pro teman teman ku selalu meminjam untuk foto foto;semenjak menggunakan iphone 11 pro teman teman ku selalu meminjam untuk foto foto
bingung banget mau pilih warna apa bagus semua;general positif;bingung banget mau pilih warna apa bagus semua;bingung banget mau pilih warna apa bagus semua;bingung banget mau pilih warna apa bagus semua;bingung sekali mau pilih warna apa bagus semua
yaAllah beri aku rejeki untuk membeli iphone 11 series pingin warna midnight keren banget;general positif;yaAllah beri aku rejeki untuk membeli iphone 11 series pingin warna midnight keren banget;yaallah beri aku rejeki untuk membeli iphone 11 series pingin warna midnight keren banget;yaallah beri aku rejeki untuk membeli iphone 11 series pingin warna midnight keren banget;yaallah beri aku rejeki untuk membeli iphone 11 series pingin warna midnight keren sekali
iphone 11 series warna ungu nya lucu banget;general positif;iphone 11 series warna ungu nya lucu banget;iphone 11 series warna ungu nya lucu banget;iphone 11 series warna ungu nya lucu banget;iphone 11 series warna ungu nya bagus sekali
warna ungu ataupun yang midnight sama sama bagus, tapi jujur midnight lebih keren;general positif;warna ungu ataupun yang midnight sama sama bagus, tapi jujur midnight lebih keren;warna ungu ataupun yang midnight sama sama bagus, tapi jujur midnight lebih keren;warna ungu ataupun yang midnight sama sama bagus tapi jujur midnight lebih keren;warna ungu ataupun yang midnight sama sama bagus tapi jujur midnight lebih keren
kalo udah pake iphone 11 berasa mewah banget deh haha;general positif;kalo udah pake iphone 11 berasa mewah banget deh haha;kalo udah pake iphone 11 berasa mewah banget deh haha;kalo udah pake iphone 11 berasa mewah banget deh haha;kalau udah menggunakan iphone 11 berasa mewah sekali deh haha
buat nonton enak sih layarnya makin gede;general positif;buat nonton enak sih layarnya makin gede;buat nonton enak sih layarnya makin gede;buat nonton enak sih layarnya makin gede;buat nonton enak sih layarnya makin besar
rentan banget nih lamalama iphone gampang retak jatoh sekali;general negatif;rentan banget nih lamalama iphone gampang retak jatoh sekali;rentan banget nih lamalama iphone gampang retak jatoh sekali;rentan banget nih lamalama iphone gampang retak jatoh sekali;rentan sekali nih lamalama iphone gampang retak jatoh sekali
kecewa lebih suka fitur sidik jari daripada face id;general negatif,spesifikasi negatif;kecewa lebih suka fitur sidik jari daripada face id;kecewa lebih suka fitur sidik jari daripada face id;kecewa lebih suka fitur sidik jari daripada face id;kecewa lebih suka fitur sidik jari daripada face id
makin gede aja iphone ditangan ye;general negatif;makin gede aja iphone ditangan ye;makin gede aja iphone ditangan ye;makin gede aja iphone ditangan ye;makin besar aja iphone ditangan ya
layarnya gampang retak;general negatif;layarnya gampang retak;layarnya gampang retak;layarnya gampang retak;layarnya gampang retak
kalo udah jatoh rentan banget retak;general negatif;kalo udah jatoh rentan banget retak;kalo udah jatoh rentan banget retak;kalo udah jatoh rentan banget retak;kalau udah jatoh rentan sekali retak
mau pake pelindung juga tetep retak;general negatif;mau pake pelindung juga tetep retak;mau pake pelindung juga tetep retak;mau pake pelindung juga tetep retak;mau menggunakan pelindung juga tetep retak
model nya makin gede;general negatif;model nya makin gede;model nya makin gede;model nya makin gede;model nya makin besar
kamera makin banyak, model nya itu aja;general negatif,kamera negatif;kamera makin banyak, model nya itu aja;kamera makin banyak, model nya itu aja;kamera makin banyak model nya itu aja;kamera makin banyak model nya itu aja
tolong modelnya bikin tangan gabisa pegang, gede banget;general negatif;tolong modelnya bikin tangan gabisa pegang, gede banget;tolong modelnya bikin tangan gabisa pegang, gede banget;tolong modelnya bikin tangan gabisa pegang gede banget;tolong modelnya membuat tangan gabisa pegang besar sekali
sebel banget jatoh langsung lecet pinggirannya;general negatif;sebel banget jatoh langsung lecet pinggirannya;sebel banget jatoh langsung lecet pinggirannya;sebel banget jatoh langsung lecet pinggirannya;kesal sekali jatoh langsung lecet pinggirannya
menurut ku sih sesuai ya harga dengan spesifikasinya;harga positif,spesifikasi positif;menurut ku sih sesuai ya harga dengan spesifikasinya;menurut ku sih sesuai ya harga dengan spesifikasinya;menurut ku sih sesuai ya harga dengan spesifikasinya;menurut ku sih sesuai ya harga dengan spesifikasinya
okelah harga segitu buat spesifikasi yang keren gini;harga positif,spesifikasi positif;okelah harga segitu buat spesifikasi yang keren gini;okelah harga segitu buat spesifikasi yang keren gini;okelah harga segitu buat spesifikasi yang keren gini;okelah harga segitu buat spesifikasi yang keren seperti
kata orang mahal, tapi menurut ku ya ada harga ada kualitas;harga positif;kata orang mahal, tapi menurut ku ya ada harga ada kualitas;kata orang mahal, tapi menurut ku ya ada harga ada kualitas;kata orang mahal tapi menurut ku ya ada harga ada kualitas;kata orang mahal tapi menurut ku ya ada harga ada kualitas
iphone xr ga semahal apa yang gue kira haha;harga positif;iphone xr ga semahal apa yang gue kira haha;iphone xr ga semahal apa yang gue kira haha;iphone xr ga semahal apa yang gue kira haha;iphone xr tidak semahal apa yang gue kira haha
wajar lah harga segitu, kalo buat wanita kamera nya hey keren banget;harga positif,kamera positif;wajar lah harga segitu, kalo buat wanita kamera nya hey keren banget;wajar lah harga segitu, kalo buat wanita kamera nya hey keren banget;wajar lah harga segitu kalo buat wanita kamera nya hey keren banget;wajar lah harga segitu kalau buat wanita kamera nya hey keren sekali
iphone xr ga mahal kok, aku beli kayanya ga sampe 10 juta bahkan 9 juta kurang;harga positif;iphone xr ga mahal kok, aku beli kayanya ga sampe 10 juta bahkan 9 juta kurang;iphone xr ga mahal kok, aku beli kayanya ga sampe 10 juta bahkan 9 juta kurang;iphone xr ga mahal kok aku beli kayanya ga sampe 10 juta bahkan 9 juta kurang;iphone xr tidak mahal kok aku beli kayanya tidak sampe 10 juta bahkan 9 juta kurang
iphone 11 masih murah sih segitu mah;harga positif;iphone 11 masih murah sih segitu mah;iphone 11 masih murah sih segitu mah;iphone 11 masih murah sih segitu mah;iphone 11 masih murah sih segitu mah
saya yang sudah lama menjadi iphone user, saat mengetahui harga iphone 11 ya normal emang segitu kan;harga positif;saya yang sudah lama menjadi iphone user, saat mengetahui harga iphone 11 ya normal emang segitu kan;saya yang sudah lama menjadi iphone user, saat mengetahui harga iphone 11 ya normal emang segitu kan;saya yang sudah lama menjadi iphone user saat mengetahui harga iphone 11 ya normal emang segitu kan;saya yang sudah lama menjadi iphone pengguna saat mengetahui harga iphone 11 ya normal memang segitu kan
ga kaget sih liat harganya, sesuai lah gila sama spec nya;harga positif,spesifikasi positif;ga kaget sih liat harganya, sesuai lah gila sama spec nya;ga kaget sih liat harganya, sesuai lah gila sama spec nya;ga kaget sih liat harganya sesuai lah gila sama spec nya;tidak kaget sih liat harganya sesuai lah sekali sama spesifikasi nya
menurut saya wajar aja harga segitu buat iphone x series ataupun 11 series, karena target pasar nya iphone memang segitu;harga positif;menurut saya wajar aja harga segitu buat iphone x series ataupun 11 series, karena target pasar nya iphone memang segitu;menurut saya wajar aja harga segitu buat iphone x series ataupun 11 series, karena target pasar nya iphone memang segitu;menurut saya wajar aja harga segitu buat iphone x series ataupun 11 series karena target pasar nya iphone memang segitu;menurut saya wajar aja harga segitu buat iphone x series ataupun 11 series karena target pasar nya iphone memang segitu
jual ginjal ini mah iphone 11 series mahal ya;harga negatif;jual ginjal ini mah iphone 11 series mahal ya;jual ginjal ini mah iphone 11 series mahal ya;jual ginjal ini mah iphone 11 series mahal ya;jual ginjal ini mah iphone 11 series mahal ya
harga terjangkau buat yang kaya haha;harga negatif;harga terjangkau buat yang kaya haha;harga terjangkau buat yang kaya haha;harga terjangkau buat yang kaya haha;harga terjangkau buat yang kaya haha
menguras dompet banget ya harganya;harga negatif;menguras dompet banget ya harganya;menguras dompet banget ya harganya;menguras dompet banget ya harganya;menguras dompet sekali ya harganya
bikin minder harganya;harga negatif;bikin minder harganya;bikin minder harganya;bikin minder harganya;membuat minder harganya
gabisa lebih mahal lagi woy iphone 11? mau beli tapi gila banget harganya;harga negatif;gabisa lebih mahal lagi woy iphone 11? mau beli tapi gila banget harganya;gabisa lebih mahal lagi woy iphone 11? mau beli tapi gila banget harganya;gabisa lebih mahal lagi woy iphone 11 mau beli tapi gila banget harganya;gabisa lebih mahal lagi woy iphone 11 mau beli tapi sekali sekali harganya
kenapa sih diatas 10 juta mulu harganya;harga negatif;kenapa sih diatas 10 juta mulu harganya;kenapa sih diatas 10 juta mulu harganya;kenapa sih diatas 10 juta mulu harganya;kenapa sih diatas 10 juta mulu harganya
