Tweet;label;Tweet_Parsed;Prediksi;Prediksi_Score
iphone gak cocok buat foto jarak dekat jadi fotonya harus dari jauh udah kayak hubungan kita yang jauh;kamera negatif;tidak cocok foto jarak fotonya harus udah kayak hubungan;kamera positif;kamera 1
pada lebay banget sih sama kamera iphone padahal gitu doang biasa aja malah menurut gue kurang;kamera negatif;lebay kamera biasa malah gue kurang;kamera negatif;kamera -2
iphone kameranya gak bagus di tempat gelap gan;kamera negatif;kameranya tidak bagus gelap gan;kamera negatif;kamera -2
iphone 11 bagus nih lucu warnanya;general positif;bagus bagus warnanya;general positif;general 2
bagus sih lucu juga warnanya iphone 11;general positif;bagus bagus warnanya;general positif;general 2
lucu banget bagus suka sama warna iphone 11;general positif;bagus bagus suka warna;general positif;general 2
bentuknya bagus suka sama bentuk iphone;general positif;bentuknya bagus suka bentuk;general positif;general 1
speaker nya mantap coy suaranya jernih keren iphone;general positif;speaker mantap coy suaranya jernih keren;general positif;general 2
layarnya jernih cocok buat nonton anime pake iphone;general positif;layarnya jernih cocok nonton anime;general positif;general 1
suka deh sama warna iphone x;general positif;suka deh warna;general positif;general 0
termasuk murah sih harga iphone mah sesuai sama kualitas;harga positif;murah harga mah sesuai kualitas;baterai positif,harga positif;baterai 1,harga 0
kualitas bagus harganya ya sesuai lah untuk iphone;harga positif;kualitas bagus harganya sesuai;harga positif;harga 1
bagi gua sih iphone murah ya kualitas juga oke jadi harganya pas lah;harga positif;murah kualitas oke harganya pas;harga positif;harga 0
harga iphone emang udah paling pas;harga positif;harga udah pas;harga positif;harga 0
murah kok harganya cuma nabung 3 bulan juga udah kebeli iphone;harga positif;murah harganya cuma nabung udah kebeli;harga positif;harga 0
kualitas oke harga juga pas mantap iphone;harga positif;kualitas oke harga pas mantap;harga positif;harga 1
cari hp berkualitas dan harga terjangkau ya iphone;harga positif;cari berkualitas harga terjangkau;harga positif;harga 1
ayo buruan beli iphone mumpung harganya murah haha;harga positif;buruan beli mumpung harganya murah;harga positif;harga 0
pas kok harga sama kualitas kalo untuk iphone;harga positif;pas harga kualitas;harga positif;harga 0
ram bagus cpu bagus iphone mantap;spesifikasi positif;ram bagus cpu bagus mantap;spesifikasi positif;spesifikasi 1
cpu bagus nih iphone;spesifikasi positif;cpu bagus;spesifikasi positif;spesifikasi 1
iphone spesifikasinya bagus sih enak pakenya;spesifikasi positif;spesifikasinya bagus enak pakenya;general positif;general 2
butuh spek bagus buat hp ya iphone;spesifikasi positif;butuh spek bagus;general positif;general 1
mau hp spek bagus ya jelas iphone;spesifikasi positif;spek bagus jelas;general positif;general 1
spesifikasi iphone bagus banget terbaik;spesifikasi positif;spesifikasi bagus terbaik;general positif;general 2
hp yang speknya bagus ya iphone lah;spesifikasi positif;speknya bagus;general positif;general 1
iphone speknya lebih bagus daripada samsung;spesifikasi positif;speknya lebih bagus samsung;general positif;general 1
iphone speknya bagus gak kayak hp lain;spesifikasi positif;speknya bagus tidak kayak;general positif;general 0
kamera iphone burem mending dslr;kamera negatif;kamera burem lebih dslr;kamera negatif;kamera -1
kamera iphone susah fokus jelek ah;kamera negatif;kamera susah fokus jelek ah;kamera negatif;kamera -2
beli iphone karena kameranya tapi ternyata bikin kecewa;kamera negatif;beli kameranya kecewa;kamera negatif;kamera -1
kamera iphone mah jelek;kamera negatif;kamera mah jelek;baterai negatif,kamera positif;baterai -1,kamera 0
bagus baterai nya awet nih iphone;baterai positif;bagus baterai awet;baterai positif;baterai 1
baterainya awet kok bagus juga iphone;baterai positif;baterainya awet bagus;baterai positif;baterai 1
baterai iphone awet kayak baterai abc;baterai positif;baterai awet kayak baterai abc;baterai positif;baterai 0
baterai bisa seharian kok bagus iphone;baterai positif;baterai bisa seharian bagus;baterai positif;baterai 1
baterai terbaik ya iphone;baterai positif;baterai terbaik;baterai positif;baterai 1
baterai bagus dan awet ya cuma iphone;baterai positif;baterai bagus awet cuma;baterai positif;baterai 1
baterai awet nan bagus emang iphone doang sih;baterai positif;baterai awet nan bagus;baterai positif;baterai 1
iphone emang baterainya terbaik sih;baterai positif;baterainya terbaik;baterai positif;baterai 1
iphone baterai ampas cepet abis;baterai negatif;baterai ampas cepat abis;baterai positif;baterai 1
iphone baterainya kayak tai;baterai negatif;baterainya kayak tai;baterai negatif;baterai -1
baterai iphone kayak anjing;baterai negatif;baterai kayak anjing;baterai negatif;baterai -1
baterai iphone bangsat anjing tai babi;baterai negatif;baterai bangsat anjing tai;baterai negatif;baterai -3
baterai iphone boros bangsat;baterai negatif;baterai boros bangsat;baterai negatif;baterai -2
ukurannya ideal banget jadi enak pas digenggam;general positif;ukurannya ideal enak pas digenggam;general positif;general 2
cakep banget warna hp nya;general positif;bagus warna;general positif;general 1
layar nya enak dan nyaman buat nonton film atau youtube;general positif;layar enak nyaman nonton film youtube;general positif,kamera positif;general 2,kamera 0
buat main oke banget sih desainnya;general positif;main oke desainnya;general positif;general 0
desain iphone 11 ini emang bagus banget pantes banyak peminat;general positif;desain bagus pantes peminat;general positif;general 1
warna hitam nya cool banget;general positif;warna hitam cool;general positif;general 0
bisa dibilang iphone 11 ini ideal banget dari desain dan fitur nya;general positif;bisa dibilang ideal desain fitur;general positif;general 1
pilihan warna nya sangat menarik sampai bingung memilihnya;general positif;pilihan warna menarik bingung memilihnya;general positif;general 1
desain nya premium banget saya suka;general positif;desain premium suka;general positif;general 0
bentuknya desainnya bagus banget simpel tapi keren;general positif;bentuknya desainnya bagus simpel keren;general positif;general 2
hp nya lumayan berat jadi gak bisa main permainan terlalu lama;general negatif;lumayan berat tidak bisa main permainan;general negatif;general -1
masalah iphone 11 tuh hp nya agak berat ya;general negatif;masalah tuh agak berat;general negatif;general -2
agak kurang sih menurut saya layar nya;general negatif;agak kurang layar;general negatif;general -1
menurut saya kegedean sih layarnya;general negatif;kegedean layarnya;general positif;general 0
ukurannya gede jadi gak bisa masuk saku;general negatif;ukurannya tidak bisa masuk saku;general negatif;general -1
menyesal beli iphone 11 sebab super berat untuk tangan saya;general negatif;menyesal beli super berat tangan;general negatif;general -1
desain hp nya mengkilap jadi gampang keliatan kalau ada lecet;general negatif;desain mengkilap gampang keliatan lecet;general negatif;general -1
poni di atas layar mengganggu banget;general negatif;poni layar mengganggu;general negatif;general -1
lebih suka android dah daripada iphone;general negatif;lebih suka android;general positif;general 1
iphone tuh terlalu eksklusif jadi susah nyambung kemanamana ga kaya android;general negatif;tuh eksklusif susah nyambung kemanamana tidak kaya android;general negatif;general -1
wajar sih harga segini karena emang bagus banget;harga positif;wajar harga segini bagus;harga positif;harga 1
gak menyesal beli iphone dengan harga segitu;harga positif;tidak menyesal beli harga segitu;harga negatif;harga -2
harganya wajar itung itung investasi;harga positif;harganya wajar itung itung investasi;harga positif;harga 0
asli emang bener hp ini sesuai dengan harganya mantap emang;harga positif;asli sesuai harganya mantap;harga positif;harga 2
harga nya setimpal untuk pemakaian jangka lama;harga positif;harga setimpal pemakaian jangka;harga positif;harga 0
iPhone X kini jauh lebih murah;harga positif;lebih murah;harga positif;harga 1
harga iphone x sudah lebih terjangkau;harga positif;harga lebih terjangkau;harga positif;harga 0
gue tiap tahun beli iphone tapi isi dompet gue masih aman ko;harga positif;gue beli isi dompet gue aman;general positif;general 1
puas banget sih harga segini apalagi dipake buat bisnis ga lemot;harga positif;puas harga segini bisnis tidak lemot;harga negatif;harga -2
menurut gue harga iphone tuh sesuai sama kualitasnya;harga positif;gue harga tuh sesuai kualitasnya;harga positif;harga 1
harganya lumayan mahal sih untuk rakyat jelata kaya aku;harga negatif;harganya lumayan mahal rakyat jelata kaya;harga positif;harga 1
emang mahal sih hp dengan harga segini;harga negatif;mahal harga segini;harga negatif;harga -2
harganya masih tetap mahal walaupun varian termurah;harga negatif;harganya mahal walaupun varian termurah;harga negatif;harga -1
ga sanggup beli iphone 11 cuma bisa liat ulasannya aja;harga negatif;tidak sanggup beli cuma bisa liat ulasannya;general negatif;general -1
nabung satu abad baru bisa beli iphone 11;harga negatif;nabung abad bisa beli;general positif;general 0
harga iphone x sulit diterima akal;harga negatif;harga sulit diterima akal;harga positif;harga 0
iphone 11 masih kemahalan banget padahal kualitasnya gak jauh beda sama iphone x;harga negatif;kemahalan kualitasnya tidak beda;general negatif;general -2
harganya mahal bikin ciut untuk membeli;harga negatif;harganya mahal ciut membeli;harga negatif;harga -2
salah satu kelemahannya adalah harganya yang sangat mahal;harga negatif;salah kelemahannya harganya mahal;harga negatif;harga -2
kapan lagi coba gua jual ginjal demi boba alias iphone11;harga negatif;coba jual ginjal boba alias;general positif;general 0
speknya mantap banget main pubg ga lemot;spesifikasi positif;speknya mantap main pubg tidak lemot;general negatif;general -1
sistem operasinya bagus banget;spesifikasi positif;sistem operasinya bagus;spesifikasi positif;spesifikasi 1
speknya bagus jadi enak banget buat main game dan buat kerja;spesifikasi positif;speknya bagus enak main game kerja;general positif;general 2
suka banget ios pasti premium kualitasnya;spesifikasi positif;suka ios premium kualitasnya;spesifikasi positif;spesifikasi 0
puas banget sistem operasinya lebih kencang dan bebas hambatan;spesifikasi positif;puas sistem operasinya lebih kencang bebas hambatan;spesifikasi positif;spesifikasi 1
operasinya lancar banget membantu bisnis saya;spesifikasi positif;operasinya lancar membantu bisnis;general positif;general 1
sistem operasi nya nyaman banget dipake dan ga lemot;spesifikasi positif;sistem operasi nyaman tidak lemot;spesifikasi negatif;spesifikasi -1
selalu lancar jaya dan nyaman banget gak pernah lemot;spesifikasi positif;lancar jaya nyaman tidak lemot;general negatif;general -1
performa iphone x mumpuni banget gak usah diragukan lagi;spesifikasi positif;performa mumpuni tidak diragukan;general negatif;general -1
spesifikasi iphone x lebih unggul dari segi performa;spesifikasi positif;spesifikasi lebih unggul segi performa;general positif;general 1
kecewa karena gak ada pemindai sidik jari;spesifikasi negatif;kecewa tidak pemindai sidik jari;general negatif;general -2
RAM kecil banget kapasitasnya;spesifikasi negatif;ram kecil kapasitasnya;spesifikasi negatif;spesifikasi -1
ya sayangnya kaga ada memori eksternal;spesifikasi negatif;sayangnya kaga memori eksternal;spesifikasi negatif;spesifikasi -1
kecewa banget beberapa fitur dihilangkan oleh iphone;spesifikasi negatif;kecewa fitur dihilangkan;general negatif;general -1
kenapa kalo mau upgrade storage di icloud harus bayar;spesifikasi negatif;upgrade storage icloud harus bayar;harga positif;harga 0
gaada tempat buat sd card ga kaya android;spesifikasi negatif;tidak sd card tidak kaya android;general negatif;general -1
ribet banget harus pake splitter soalnya gabisa charge dan dengerin lagu secara bersamaan;spesifikasi negatif;ribet harus splitter gabisa charge dengerin lagu bersamaan;baterai negatif;baterai -1
kenapa sih pemindai sidik jarinya diilangin padahal hari gini kan pake masker mulu jadi ribet kalo pake pemindai wajah;spesifikasi negatif;pemindai sidik jarinya diilangin gini masker mulu ribet pemindai wajah;general negatif;general -1
sumpah ya kenapa iphone tuh ukuran RAM nya segede semut;spesifikasi negatif;tuh ukuran ram segede semut;general positif,spesifikasi positif;general 0,spesifikasi 0
tibatiba disuruh install aplikasi absen sama sekolah tapi di iphone gabisa soalnya ram nya kecil;spesifikasi negatif;tibatiba disuruh install aplikasi absen sekolah gabisa ram kecil;spesifikasi negatif;spesifikasi -1
kamera nya cepet banget autofokus keren banget deh;kamera positif;kamera cepat autofokus keren deh;kamera positif;kamera 2
hasil fotonya lebih bagus daripada versi sebelumnya;kamera positif;hasil fotonya lebih bagus versi;kamera positif;kamera 1
keren deh kamera nya walaupun minim cahaya tetep memuaskan banget hasil fotonya terang dan jelas;kamera positif;keren deh kamera walaupun minim cahaya tetep memuaskan hasil fotonya terang jelas;kamera positif;kamera 1
Wow bisa bikin video keren pake kamera depan;kamera positif;wow bisa video keren kamera;kamera positif;kamera 2
hasil foto pake kamera iphone 11 bagus banget kaya pake kamera dslr;kamera positif;hasil foto kamera bagus kaya kamera dslr;kamera positif;kamera 2
kamera nya keren abis;kamera positif;kamera keren abis;kamera positif;kamera 1
buat foto jarak jauh mantap banget ga burem sama sekali;kamera positif;foto jarak mantap tidak burem;kamera negatif;kamera -1
kalo soal kamera gak usah ragu lagi sama iphone;kamera positif;kamera tidak ragu;kamera negatif;kamera -2
hasil foto udah kaya pake kamera level profesional;kamera positif;hasil foto udah kaya kamera level profesional;kamera positif;kamera 1
kameranya super bagus hasilnya kaya dilihat pake mata langsung;kamera positif;kameranya super bagus hasilnya kaya mata langsung;kamera positif;kamera 3
kalo mau foto jarak dekat kurang bagus nih lensa kamera nya;kamera negatif;foto jarak kurang bagus lensa kamera;kamera positif;kamera 0
banyak yang ngeluh bentuk kamera nya kaya minuman bubble milk tea;kamera negatif;ngeluh bentuk kamera kaya minuman bubble milk tea;kamera positif,general positif;kamera 1,general 0
ribet dah kalo selfie pake iphone harus pake filter soalnya hasilnya terlalu realistis jadi gue keliatan jeleknya;kamera negatif;ribet foto harus filter hasilnya realistis gue keliatan jeleknya;kamera negatif;kamera -1
gampang lecet kamera nya;kamera negatif;gampang lecet kamera;kamera negatif;kamera -1
kamera ip11 tuh hasil fotonya tuh warnanya jadi lebih kuning gitu aneh;kamera negatif;kamera ip tuh hasil fotonya tuh warnanya lebih kuning aneh;general negatif,kamera positif;general -1,kamera 0
hasil foto iphone 11 kurang bagus kalo gak ada cahaya matahari;kamera negatif;hasil foto kurang bagus tidak cahaya matahari;kamera positif;kamera 0
bagusan kamera samsung kemanamana daripada iphone x;kamera negatif;bagusan kamera samsung kemanamana;kamera positif;kamera 0
kamera swafoto iphone 11 kurang mantap nih autofokusnya;kamera negatif;kamera swafoto kurang mantap autofokusnya;kamera positif;kamera 0
tingkat eksposur kamera ip11 kurang sempurna dibandingkan samsung s10;kamera negatif;tingkat eksposur kamera ip kurang sempurna dibandingkan samsung;kamera positif;kamera 0
kalo foto didalem ruangan hasilnya kurang mantap nih;kamera negatif;foto didalem ruangan hasilnya kurang mantap;kamera positif;kamera 0
mantap deh baterai nya lebih hemat dari versi sebelumnya;baterai positif;mantap deh baterai lebih hemat versi;baterai positif;baterai 1
pas awal pake tuh baterai hemat banget bisa tahan seharian;baterai positif;pas tuh baterai hemat bisa tahan seharian;baterai positif;baterai 0
baterainya tahan lama banget;baterai positif;baterainya tahan;baterai positif;baterai 0
baterai iphone 11 gue masih aman ko walaupun dipake sepuluh jam nonton video;baterai positif;baterai gue aman walaupun sepuluh jam nonton video;baterai positif,kamera positif;baterai 1,kamera 0
lumayan awet sih baterenya dipake main pubg berjam jam;baterai positif;lumayan awet baterenya main pubg berjam jam;general positif;general 1
gue tepuk tangan sih batere nya ada peningkatan dibanding versi sebelumnya;baterai positif;gue tepuk tangan batere peningkatan dibanding versi;general positif;general 1
baterenya ga seburuk kata orangorang ko asal elu pakenya jangan jorok aja;baterai positif;baterenya tidak seburuk orangorang elu pakenya jangan jorok;general negatif;general -1
enaknya ip11 tuh pas charge lumayan cepet penuh nya;baterai positif;enaknya ip tuh pas charge lumayan cepat penuh;baterai positif;baterai 2
kalo charge nya pake charger iphone yang sesuai mah pasti cepet penuh koo baterenya;baterai positif;charge charger sesuai mah cepat penuh koo baterenya;baterai positif;baterai 1
baterenya awet sih ga cepet kembung gitu;baterai positif;baterenya awet tidak cepat kembung;general positif;general 0
sumpah ya charge hp lama banget keburu gajah bertelur;baterai negatif;charge keburu gajah bertelur;baterai positif;baterai 0
lama banget bisa naik haji dulu kali yaa nunggu baterai penuh;baterai negatif;bisa haji yaa nunggu baterai penuh;baterai positif;baterai 0
makin lama dipake makin cepet habis baterainya;baterai negatif;makin makin cepat habis baterainya;baterai negatif;baterai -1
menurut aku baterai nya kurang awet;baterai negatif;baterai kurang awet;baterai negatif;baterai -1
pengisian baterai hp tergolong lama;baterai negatif;pengisian baterai tergolong;baterai positif;baterai 0
baterai nya ga bisa dicopot;baterai negatif;baterai tidak bisa dicopot;baterai negatif;baterai -1
satu hal yang agak mengecewakan adalah baterainya yang kurang awet;baterai negatif;agak mengecewakan baterainya kurang awet;baterai negatif;baterai -1
batere iphone tuh jelek banget;baterai negatif;batere tuh jelek;general negatif;general -1
batere iphone ga seawet samsung apalagi sekarang covid sering main hp jadi boros banget;baterai negatif;batere tidak seawet samsung covid main boros;general negatif;general -2
ga awet bgt dah kalo gue pake iphone bisa dua sampe tiga kali charger dalam sehari;baterai negatif;tidak awet gue bisa sampe charger sehari;baterai negatif;baterai -1
wah bagus ini handphone pantas aja banyak yang nungguin;general positif;wah bagus handphone nungguin;general positif;general 2
ga sia sia nungguin banget ip11 rilis keren bgt ternyata;general positif;tidak nungguin ip rilis keren;general positif;general 0
ukurannya ideal ya ga kegedean;general positif;ukurannya ideal tidak kegedean;general positif;general 0
pilihan warnanya gemes gemes banget;general positif;pilihan warnanya gemes gemes;general positif;general 1
mewah yang ga lebay gitu nih ip11 asik;general positif;mewah tidak lebay ip asik;general negatif;general -1
I'm so in love with this phone;general positif;love;general positif;general 0
so good for gaming;general positif;good gaming;general positif;general 0
saatnya beralih ke ip11, bye handphone lama;general positif;beralih ip bye handphone;general positif;general 0
setelah baca baca review nya, hm lumayan juga jadi tertarik nih buat beli;general positif;baca baca review hm lumayan tertarik beli;general positif;general 1
suka banget sama yang warna hijau, harus punya;general positif;suka warna hijau harus;general positif;general 0
ga suka ah mending beli merk lain aja;general negatif;tidak suka ah lebih beli merk;general negatif;general -2
desainnya masih sama aja kaya yg sebelum sebelumnya bosan;general negatif;desainnya kaya bosan;general positif;general 0
kurang suka sama desain nya, masih kegedean, kenapa ga lebih slim;general negatif;kurang suka desain kegedean tidak lebih slim;general negatif;general -1
buat apasih make iphone, sistem operasinya ribet apalagi buat yg ga biasa pakai;general negatif;apasih make sistem operasinya ribet tidak biasa pakai;spesifikasi negatif;spesifikasi -3
upgradenya ga terlalu banyak sih dibanding produk sebelumnya, ga terllau worth sih ya sepertinya;general negatif;upgradenya tidak dibanding produk tidak terllau sebanding;general negatif;general -2
yaampun ip11 ga ada charger ga ada earphone nya dong, hft banget;general negatif;yaampun ip tidak charger tidak earphone hft;baterai negatif;baterai -1
kenapa charger dan earphonenya ga include sih, percuma aja spesifikasi mantep, tapi part yg cukup pentingnya ga ada;general negatif;charger earphonenya tidak include spesifikasi mantep part cukup tidak;baterai negatif;baterai -1
ga pernah tertarik buat beli iphone deh sampai sekarang;general negatif;tidak tertarik beli deh;general negatif;general -1
ip11 biasa aja sih menurut gue, kenapa pada bilang waw banget ya;general negatif;ip biasa gue bilang waw;general negatif;general -1
belum minat buat beli nih iphone 11, masih jelek menurut gue;general negatif;belum minat beli jelek gue;general negatif;general -1
harganya affordabe banget buat experience yg luar biasa;harga positif;harganya affordabe experience biasa;harga negatif;harga -1
harganya okelah ya buat spesifikasi kaya gini;harga positif;harganya okelah spesifikasi kaya gini;harga positif;harga 1
terjangkau sih menurut gue harganya iphone 11 ini, sesuai sama spec;harga positif;terjangkau gue harganya sesuai spesifikasi;harga positif;harga 1
ada harga ada rupa ya coi, bagus sih ini produknya worth it buat harga segitu;harga positif;harga rupa coi bagus produknya sebanding harga segitu;harga positif;harga 1
harga ip11 sesuai lah ya dengan kemampuan yang handphone ini bisa tunjukkan;harga positif;harga ip sesuai kemampuan handphone bisa tunjukkan;harga positif;harga 2
harganya ga mahal kok utnuk kualitas sebagus ini, kalo ada yg bilang mahal emang lu aja yg ga mampu beli;harga positif;harganya tidak mahal utnuk kualitas sebagus bilang mahal tidak mampu beli;harga negatif;harga -1
wah harganya cuma segitu? buat kualitas seperti ini? super worth it;harga positif;wah harganya cuma segitu kualitas super sebanding;harga positif;harga 1
ini hitungannya harganya masih murah sih untuk produk sebagus ini;harga positif;hitungannya harganya murah produk sebagus;harga positif;harga 0
iphone11, harganya sesuai kok sama spesifikasi dan produknya;harga positif;harganya sesuai spesifikasi produknya;harga positif;harga 1
harganya sesuai sama apa yang bakalan kita dapat, ga nyesel gais;harga positif;harganya sesuai tidak nyesel gais;harga negatif;harga -1
Mahal banget sih ini ip11 buat produk kaya begini doang, masih banyak yg lebih murah;harga negatif;mahal ip produk kaya lebih murah;harga negatif;harga -1
ga worth it banget harganya;harga negatif;tidak sebanding harganya;harga negatif;harga -2
buat apasih beli iphone mahal mahal, masih banyak produk yg lain yg lebih murah tapi tetap bagus;harga negatif;apasih beli mahal mahal produk lebih murah bagus;harga negatif;harga -2
ini sih terlalu mahal buat handphone doang;harga negatif;mahal handphone;harga negatif;harga -2
ga minat buat beli nih ip11 apalagi harganya selangit;harga negatif;tidak minat beli ip harganya selangit;harga negatif;harga -1
kenapa sih harga produk apple tuh mahal mahal banget;harga negatif;harga produk tuh mahal mahal;harga negatif;harga -2
harganya ga affordable, sorry apple;harga negatif;harganya tidak affordable sorry;harga negatif;harga -1
apa harganya gabisa lebih murah ya, sebagus apasih sampai harganya segitu banget;harga negatif;harganya gabisa lebih murah sebagus apasih harganya segitu;harga positif;harga 0
terlalu mahal ini harganya, ga bisa lebih murah apa iphone11;harga negatif;mahal harganya tidak bisa lebih murah;harga negatif;harga -2
mending beli produk lain yang harganya lebih terjangkau tapi kualitasnya ga kalah jauh;harga negatif;lebih beli produk harganya lebih terjangkau kualitasnya tidak kalah;harga negatif;harga -2
keren juga nih ip11 pake ios terbaru;spesifikasi positif;keren ip ios terbaru;spesifikasi positif;spesifikasi 1
spesifikasinya asik nyaman buat dipake ngegame;spesifikasi positif;spesifikasinya asik nyaman ngegame;general positif;general 1
chipset yang ada di ip11 ini bikin performanya jauh lebih enteng dibanding iphone sebelum-sebelumnya;spesifikasi positif;chipset ip performanya lebih enteng dibanding;general positif;general 0
apple processor is better than any android out there;spesifikasi positif;processor lebih android;spesifikasi positif;spesifikasi 0
wahh mantap nih spesifikasinya iphone 11;spesifikasi positif;wahh mantap spesifikasinya;general positif;general 1
ga heran sih nih iphone11 mantap, toh iosnya make yang terbaru;spesifikasi positif;tidak heran mantap iosnya make terbaru;general positif;general 2
spesifikasi iphone11 mantap banget bisa dipake buat nyelam dengan aman;spesifikasi positif;spesifikasi mantap bisa nyelam aman;general positif;general 2
suka banget sama spesifikasinya ga nyesel beli;spesifikasi positif;suka spesifikasinya tidak nyesel beli;general negatif;general -2
performanya jadi makin mantap dengan penggunaan ios terbaru didalam produk ip11 ini;spesifikasi positif;performanya makin mantap penggunaan ios terbaru didalam produk ip;spesifikasi positif;spesifikasi 1
belum ada yang bisa nandingin processor yang dipunya apple;spesifikasi positif;belum bisa nandingin processor dipunya;spesifikasi positif;spesifikasi 0
pilihan ram nya dikit banget, harusnya bisa lebih bervariasi;spesifikasi negatif;pilihan ram dikit harusnya bisa lebih bervariasi;spesifikasi positif;spesifikasi 1
kenapa ram nya cuma 4gb pengen yang lebih;spesifikasi negatif;ram cuma gb pengen lebih;spesifikasi positif;spesifikasi 0
spesifikasinya masih kurang sih kalo menurut gue apalagi harganya juga mahal;spesifikasi negatif;spesifikasinya kurang gue harganya mahal;harga negatif;harga -1
masa ga ada fitur NFC nya sih percuma aja harga mahal tapi ga punya fitur yang lagi tren;spesifikasi negatif;tidak fitur nfc harga mahal tidak fitur tren;harga negatif;harga -1
belum support 5g masih jelek;spesifikasi negatif;belum mendukung g jelek;general positif;general 0
spesifikasinya ga beda jauh sama produk sebelumnya masih biasa aja cenderung jelek;spesifikasi negatif;spesifikasinya tidak beda produk biasa cenderung jelek;general negatif;general -4
belum ada fitur buat usb type c huh masih jelek;spesifikasi negatif;belum fitur usb type c huh jelek;general negatif;general -1
masih bnayak yang kurang nih spesifikasinya, belum terlalu oke;spesifikasi negatif;bnayak kurang spesifikasinya belum oke;general negatif;general -1
apple ga up to date, masa belum support 5g sih;spesifikasi negatif;tidak date belum mendukung g;general positif;general 0
yah masih 4g coy, gausah dibeli lah, masih jelek;spesifikasi negatif;g coy gausah dibeli jelek;general negatif;general -1
wah ancur bgt nih ip11 kameranya auto mulus;kamera positif;wah ancur ip kameranya auto mulus;kamera positif;kamera 1
suka banget hasil pengambilan kameranya;kamera positif;suka hasil pengambilan kameranya;kamera positif;kamera 0
fitur autofokusnya cakep banget cuy;kamera positif;fitur autofokusnya bagus cuy;general positif;general 1
ip11 ini kameranya aku suka banget, hasilnya bagus;kamera positif;ip kameranya suka hasilnya bagus;kamera positif;kamera 1
satu satunya alasan gue cinta bgt sama ip11 kameranya waw amazing;kamera positif;satunya alasan gue cinta ip kameranya waw amazing;kamera positif;kamera 0
fitur night mode nya lumayan bgt dipake buat jepret jepret malem malem;kamera positif;fitur night mode lumayan jepret jepret malem malem;general positif;general 1
hasil fotonya bagus banget sih, mendukung keestetikan gue;kamera positif;hasil fotonya bagus mendukung keestetikan gue;kamera positif;kamera 2
kameranya oke, dipake buat foto dan video bagus;kamera positif;kameranya oke foto video bagus;kamera positif;kamera 1
semenjak pake ip11 makin suka selfie deh kameranya bagus haha;kamera positif;semenjak ip makin suka foto deh kameranya bagus;kamera negatif;kamera -1
ga salah beli nih, kameranya gue suka;kamera positif;tidak salah beli kameranya gue suka;kamera negatif;kamera -3
jelek banget fitur night mode kamera nya banyak noise;kamera negatif;jelek fitur night mode kamera noise;kamera negatif;kamera -1
kameranya jelek kalo mau ngezoom pecah;kamera negatif;kameranya jelek ngezoom pecah;kamera negatif;kamera -2
ga worth it sih kameranya, mendingan beli produk lain;kamera negatif;tidak sebanding kameranya mendingan beli produk;kamera negatif;kamera -2
kameranya kurang banyak, ga memuaskan;kamera negatif;kameranya kurang tidak memuaskan;kamera negatif;kamera -2
ah iphone 11 kameranya kurang baik dibanding yg lain;kamera negatif;ah kameranya kurang dibanding;kamera negatif;kamera -1
kamera nya ga terlalu bagus sih, kalo dipake buat moto malam hasilnya jelek;kamera negatif;kamera tidak bagus moto malam hasilnya jelek;kamera negatif;kamera -2
masih banyak produk lain yang kameranya lebih bagus dari ip11 nih, ga worth sih;kamera negatif;produk kameranya lebih bagus ip tidak sebanding;kamera negatif;kamera -1
kameranya kalo dipake buat foto indoor dgn pencahayaan yg kurang bad banget sih;kamera negatif;kameranya foto indoor pencahayaan kurang bad;kamera negatif;kamera -1
noise banget asli kalo dipake foto indoor malem malem, jelek;kamera negatif;noise asli foto indoor malem malem jelek;kamera positif;kamera 1
kameranya masih jelek, masih banyak handphone murah yang kameranya good;kamera negatif;kameranya jelek handphone murah kameranya good;kamera negatif,harga positif;kamera -1,harga 0
the battery is good cukup bertahan;baterai positif;baterai good cukup bertahan;baterai positif;baterai 0
lumayan kuat sih yang ini baterainya untuk intensitas pemakaian yang cukup tinggi;baterai positif;lumayan kuat baterainya intensitas pemakaian cukup;baterai positif;baterai 1
aman sih ini baterainya, apalagi ada teknologi wireless charge;baterai positif;aman baterainya teknologi wireless charge;baterai positif;baterai 1
chipsetnya mantap banget jadi bikin iphone 11 hemat baterai;baterai positif;chipset mantap hemat baterai;baterai positif;baterai 1
iphone11 ini menggunakan chipset terkuat dan tercepat jadi sangat hemat baterai;baterai positif;chipset terkuat tercepat hemat baterai;baterai positif;baterai 2
buat iphone 11 ini apple udah mengembangkan teknologi khusus yang bisa menekan pengonsumsian baterai jadi sepertinya jauh lebih hemat dari produk sebelumnya;baterai positif;udah mengembangkan teknologi khusus bisa menekan pengonsumsian baterai lebih hemat produk;baterai negatif;baterai -1
ip11 ini punya teknologi yang bisa menekan penggunaan daya sistem jadi walaupun kapasitasnya sedikit baterainya cukup tahan lama lho;baterai positif;ip teknologi bisa menekan penggunaan daya sistem walaupun kapasitasnya sedikit baterainya cukup tahan lho;baterai negatif,spesifikasi negatif;baterai -1,spesifikasi -1
dibandingkan produk sebelumnya, produk apple yang ini baterai nya cukup tahan;baterai positif;dibandingkan produk produk baterai cukup tahan;baterai positif;baterai 0
akhirnya apple ngembangin teknologi yang bikin baterainya lebih hemat;baterai positif;ngembangin teknologi baterainya lebih hemat;baterai positif;baterai 0
