Tweet;label;Tweet_Parsed;sentiment
harganya affordabe banget buat experience yg luar biasa;harga positif;harga affordabe experience;3
harganya okelah ya buat spesifikasi kaya gini;harga positif;harga oke spesifikasi kaya gin;8
terjangkau sih menurut gue harganya iphone 11 ini, sesuai sama spec;harga positif;jangkau gue harga sesuai spesifikasi;9
ada harga ada rupa ya coi, bagus sih ini produknya worth it buat harga segitu;harga positif;harga rupa coi bagus produk banding harga segitu;7
harga ip11 sesuai lah ya dengan kemampuan yang handphone ini bisa tunjukkan;harga positif;harga ip sesuai handphone;6
harganya ga mahal kok utnuk kualitas sebagus ini, kalo ada yg bilang mahal emang lu aja yg ga mampu beli;harga positif;harga mahal utnuk kualitas bagus bilang mahal beli;6
wah harganya cuma segitu? buat kualitas seperti ini? super worth it;harga positif;harga segitu kualitas super banding;5
ini hitungannya harganya masih murah sih untuk produk sebagus ini;harga positif;hitung harga murah produk bagus;6
iphone11, harganya sesuai kok sama spesifikasi dan produknya;harga positif;harga sesuai spesifikasi produk;12
harganya sesuai sama apa yang bakalan kita dapat, ga nyesel gais;harga positif;harga sesuai nyesel gais;1
Mahal banget sih ini ip11 buat produk kaya begini doang, masih banyak yg lebih murah;harga negatif;mahal ip produk kaya murah;5
ga worth it banget harganya;harga negatif;banding harga;3
buat apasih beli iphone mahal mahal, masih banyak produk yg lain yg lebih murah tapi tetap bagus;harga negatif;apasih beli mahal mahal produk murah bagus;-1
ini sih terlalu mahal buat handphone doang;harga negatif;mahal handphone;1
ga minat buat beli nih ip11 apalagi harganya selangit;harga negatif;minat beli ip harga langit;6
kenapa sih harga produk apple tuh mahal mahal banget;harga negatif;harga produk tuh mahal mahal;8
harganya ga affordable, sorry apple;harga negatif;harga affordable sorry;-1
apa harganya gabisa lebih murah ya, sebagus apasih sampai harganya segitu banget;harga negatif;harga gabisa murah bagus apasih harga segitu;-2
terlalu mahal ini harganya, ga bisa lebih murah apa iphone11;harga negatif;mahal harga murah;5
mending beli produk lain yang harganya lebih terjangkau tapi kualitasnya ga kalah jauh;harga negatif;beli produk harga jangkau kualitas kalah;5
keren juga nih ip11 pake ios terbaru;spesifikasi positif;keren ip ios;0
spesifikasinya asik nyaman buat dipake ngegame;spesifikasi positif;spesifikasi asik nyaman ngegame;11
chipset yang ada di ip11 ini bikin performanya jauh lebih enteng dibanding iphone sebelum-sebelumnya;spesifikasi positif;chipset ip performa enteng banding;2
apple processor is better than any android out there;spesifikasi positif;processor android;0
wahh mantap nih spesifikasinya iphone 11;spesifikasi positif;wahh mantap spesifikasi;8
ga heran sih nih iphone11 mantap, toh iosnya make yang terbaru;spesifikasi positif;heran mantap iosnya make;6
spesifikasi iphone11 mantap banget bisa dipake buat nyelam dengan aman;spesifikasi positif;spesifikasi mantap nyelam aman;8
suka banget sama spesifikasinya ga nyesel beli;spesifikasi positif;suka spesifikasi nyesel beli;-1
performanya jadi makin mantap dengan penggunaan ios terbaru didalam produk ip11 ini;spesifikasi positif;performa mantap ios produk ip;8
belum ada yang bisa nandingin processor yang dipunya apple;spesifikasi positif;nandingin processor;0
pilihan ram nya dikit banget, harusnya bisa lebih bervariasi;spesifikasi negatif;pilih ram dikit variasi;-6
kenapa ram nya cuma 4gb pengen yang lebih;spesifikasi negatif;ram gb ken;1
spesifikasinya masih kurang sih kalo menurut gue apalagi harganya juga mahal;spesifikasi negatif;spesifikasi gue harga mahal;7
masa ga ada fitur NFC nya sih percuma aja harga mahal tapi ga punya fitur yang lagi tren;spesifikasi negatif;fitur nfc harga mahal fitur tren;2
belum support 5g masih jelek;spesifikasi negatif;dukung g jelek;-1
spesifikasinya ga beda jauh sama produk sebelumnya masih biasa aja cenderung jelek;spesifikasi negatif;spesifikasi beda produk cenderung jelek;-3
belum ada fitur buat usb type c huh masih jelek;spesifikasi negatif;fitur usb type c huh jelek;-5
masih bnayak yang kurang nih spesifikasinya, belum terlalu oke;spesifikasi negatif;bnayak spesifikasi oke;5
apple ga up to date, masa belum support 5g sih;spesifikasi negatif;date dukung g;4
yah masih 4g coy, gausah dibeli lah, masih jelek;spesifikasi negatif;g coy gausah beli jelek;-10
wah ancur bgt nih ip11 kameranya auto mulus;kamera positif;ancur ip kamera auto mulus;-1
suka banget hasil pengambilan kameranya;kamera positif;suka hasil ambil kamera;0
fitur autofokusnya cakep banget cuy;kamera positif;fitur autofokusnya bagus cuy;-2
ip11 ini kameranya aku suka banget, hasilnya bagus;kamera positif;ip kamera suka hasil bagus;3
satu satunya alasan gue cinta bgt sama ip11 kameranya waw amazing;kamera positif;alas gue cinta ip kamera waw amazing;2
fitur night mode nya lumayan bgt dipake buat jepret jepret malem malem;kamera positif;fitur night mode lumayan jepret jepret malem malem;-3
hasil fotonya bagus banget sih, mendukung keestetikan gue;kamera positif;hasil foto bagus dukung estetik gue;12
kameranya oke, dipake buat foto dan video bagus;kamera positif;kamera oke foto video bagus;3
semenjak pake ip11 makin suka selfie deh kameranya bagus haha;kamera positif;semenjak ip suka foto deh kamera bagus;3
ga salah beli nih, kameranya gue suka;kamera positif;salah beli kamera gue suka;-3
jelek banget fitur night mode kamera nya banyak noise;kamera negatif;jelek fitur night mode kamera noise;-5
kameranya jelek kalo mau ngezoom pecah;kamera negatif;kamera jelek ngezoom pecah;-5
ga worth it sih kameranya, mendingan beli produk lain;kamera negatif;banding kamera mending beli produk;1
kameranya kurang banyak, ga memuaskan;kamera negatif;kamera muas;5
ah iphone 11 kameranya kurang baik dibanding yg lain;kamera negatif;ah kamera banding;0
kamera nya ga terlalu bagus sih, kalo dipake buat moto malam hasilnya jelek;kamera negatif;kamera bagus moto malam hasil jelek;-5
masih banyak produk lain yang kameranya lebih bagus dari ip11 nih, ga worth sih;kamera negatif;produk kamera bagus ip banding;1
kameranya kalo dipake buat foto indoor dgn pencahayaan yg kurang bad banget sih;kamera negatif;kamera foto indoor cahaya bad;-1
noise banget asli kalo dipake foto indoor malem malem, jelek;kamera negatif;noise asli foto indoor malem malem jelek;-2
kameranya masih jelek, masih banyak handphone murah yang kameranya good;kamera negatif;kamera jelek handphone murah kamera good;1
the battery is good cukup bertahan;baterai positif;baterai good tahan;1
lumayan kuat sih yang ini baterainya untuk intensitas pemakaian yang cukup tinggi;baterai positif;lumayan kuat baterai intensitas pakai;-5
aman sih ini baterainya, apalagi ada teknologi wireless charge;baterai positif;aman baterai teknologi wireless charge;-3
chipsetnya mantap banget jadi bikin iphone 11 hemat baterai;baterai positif;chipset mantap hemat baterai;3
iphone11 ini menggunakan chipset terkuat dan tercepat jadi sangat hemat baterai;baterai positif;chipset kuat cepat hemat baterai;-3
buat iphone 11 ini apple udah mengembangkan teknologi khusus yang bisa menekan pengonsumsian baterai jadi sepertinya jauh lebih hemat dari produk sebelumnya;baterai positif;udah kembang teknologi khusus tekan konsumsi baterai hemat produk;2
ip11 ini punya teknologi yang bisa menekan penggunaan daya sistem jadi walaupun kapasitasnya sedikit baterainya cukup tahan lama lho;baterai positif;ip teknologi tekan daya sistem kapasitas baterai tahan lho;-7
dibandingkan produk sebelumnya, produk apple yang ini baterai nya cukup tahan;baterai positif;banding produk produk baterai tahan;2
akhirnya apple ngembangin teknologi yang bikin baterainya lebih hemat;baterai positif;ngembangin teknologi baterai hemat;-2
udah coba pake handphone ini seharian tanpa ngecharge waw juga sama kemampuan konsumsi dayanya yg lebih kecil;baterai positif;udah coba handphone charge waw konsumsi daya;1
boros banget baterainya, masa kudu ngecas berkali kali sih;baterai negatif;boros baterai kudu ngecas kali;-8
harus banget bawa powerbank kemana mana ini mah, baterainya ga oke;baterai negatif;bawa powerbank mah baterai oke;-3
kenapa sih iphone tuh baterainya ga pernah bertahan lama;baterai negatif;tuh baterai tahan;-4
baterai nya boros, ga cocok buat orang yang pekerjaannya banyak menggunakan handphone;baterai negatif;baterai boros cocok orang kerja handphone;-5
ngecharge nya butuh watu lama ini iphone 11;baterai negatif;charge butuh watu;-8
ga keren banget masa charger bawaannya belum fast charging;baterai negatif;keren charger bawa cepat charger;-2
yaelah belum fast charging, lama nih kalo ngecharge pake charger bawaan, masa kudu beli charger yg lain lagi sih;baterai negatif;yaelah cepat charger charge charger bawa kudu beli charger;-3
butuh waku lama buat ngecharge kalo pake charger bawaan, daya nya masih kecil;baterai negatif;butuh waku charge charger bawa daya;-7
udah mahal begini masa chargernya blm fast charging sih, kecewa dah;baterai negatif;udah mahal chargernya cepat charger kecewa;1
kapasitas baterainya masih kalah dibanding produk lain yang lebih murah;baterai negatif;kapasitas baterai kalah banding produk murah;0
