Tweet;label;Tweet_Parsed;sentiment;Prediksi
belum bisa 5g hpnya, padahal harganya ga murah loh;spesifikasi negatif, harga negatif;g hpnya harga murah loh;4;harga positif
ga ada radionya wkwk, dari dulu biasa denger radio jadi ga bisa deh gara-gara ganti hp;spesifikasi negatif;radio denger radio deh gara gara ganti;-11;
memori RAM nya kecil banget, gabisa pake banyak app sekaligus;spesifikasi negatif;memori ram gabisa aplikasi;-4;spesifikasi netral
layarnya masih pake IPS, ga setajam dan secerah OLED;spesifikasi negatif;layar ips tajam cerah oled;2;general positif
tidak mendukung buat pake headset nih, ga ada portnya jadi memang harus beli earpod;spesifikasi negatif;dukung headset portnya beli earpod;3;
kecewa sih spesifikasinya ga sekeren yang diharapkan;spesifikasi negatif;kecewa spesifikasi keren harap;3;
ganyesel deh beli iphone 11 kameranya bagus banget;kamera positif;ganyesel deh beli kamera bagus;-3;kamera netral
iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu;kamera positif, general negatif;xr rada berat deh kamera effect effect glowing;0;kamera netral
ganyesel deh beli iphone 11 kameranya bagus banget;kamera positif;ganyesel deh beli kamera bagus;-3;kamera netral
suka banget iphone 11 pro kamera ultra wide nya;kamera positif;suka kamera ultra wide;2;kamera netral
resolusinya sih kaya kamera slr;kamera positif;resolusi kaya kamera slr;3;kamera positif
kenapa harus bagus banget nih kamera iphone;kamera positif;bagus kamera;-2;kamera netral
kameranya bikin jatuh cinta;kamera positif;kamera jatuh cinta;0;kamera negatif
natural banget nih kamera;kamera positif;natural kamera;-2;kamera netral
iphone makin keatas makin keren kameranya;kamera positif;keren kamera;0;kamera netral
beli iphone karena suka kameranya haha;kamera positif;beli suka kamera;1;kamera netral
terlalu natural untuk muka ku yang jerawatan;kamera negatif;natural muka ku jerawat;-5;
kameranya tetep tidak bikin muka glowing;kamera negatif;kamera tetep muka glowing;0;kamera netral
biasa aja asli kameranya;kamera negatif;asli kamera;2;kamera netral
beli iphone karena kamera doang juga masih banyak kali yang bagus;kamera negatif;beli kamera bagus;-3;kamera netral
jatoh pas dibagian kamera langsung pecah;kamera negatif;jatoh pas kamera langsung pecah;6;kamera positif
kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kamera negatif;kamera tonjol taro meja kaya gesek;-2;kamera netral
kamera apa yang beda sih kaya sama aja;kamera negatif;kamera beda kaya;-2;kamera negatif
terus aja tambah kameranya sampe 5 banyak bener;kamera negatif;kamera sampe;0;kamera netral
biasa aja kameranya;kamera negatif;kamera;0;kamera netral
pori pori keliatan banget pake nih kamera;kamera negatif;pori pori liat kamera;1;kamera netral
kok aku merasa tidak boros ya baterainya iphone xr;baterai positif;boros baterai xr;-8;baterai negatif
cepet banget ke isi sih baterainya keren;baterai positif;cepat isi baterai keren;-6;baterai negatif
wah makin irit ya baterainya;baterai positif;irit baterai;-3;baterai netral
gila ganyangka baterainya cepet ke isi;baterai positif;ganyangka baterai cepat isi;-6;baterai negatif
wah udah pake sekian lama ternyata baterainya ga boros;baterai positif;udah sekian nyata baterai boros;-6;baterai negatif
seneng banget charge sebentar langsung penuh;baterai positif;neng charge sebentar langsung penuh;5;baterai positif
lebih cepet penuh baterainya daripada iphone dibawah x;baterai positif;cepat penuh baterai;-3;baterai netral
ganyangka kirain iphone makin keatas baterainya makin boros ternyata malah irit;baterai positif;ganyangka kirain baterai boros nyata irit;-6;baterai negatif
salut sama baterai iphone xr cepet terisi dan ga boros;baterai positif;salut baterai xr cepat isi boros;-11;baterai negatif
iphone makin canggih dan baterainya pun gabakal dikomen boros lagi haha;baterai positif, general positif;canggih baterai gabakal dikomen boros;-12;baterai negatif
kata orang ga boros tapi kok tetep sih;baterai negatif;orang boros tetep;-5;
siapa yang bilang ga boros tetep boros tau;baterai negatif;bilang boros tetep boros tau;-14;
kesel banget iphone tuh hp terboros ya soal baterai;baterai negatif;kesel tuh boros baterai;-13;baterai netral
rasanya pingin baterai seirit nokia tapi hp tetep iphone haha boros banget sih asli iphone;baterai negatif;pingin baterai irit nokia tetep boros asli;-4;baterai negatif
terimakasih baterai iphone membuat saya harus membawa charger terus;baterai negatif;terimakasih baterai bawa charger;0;baterai negatif
sehari bisa berapa kali charge boros parah;baterai negatif;charge boros parah;-10;baterai negatif
sudah setahun kirain bakal irit ternyata makin boros baterainya;baterai negatif;kirain irit nyata boros baterai;-6;baterai netral
fitur bagus, warna lucunya menggiurkan tapi baterai yang harus dipikirkan ketahanannya;baterai negatif, general positif;fitur bagus warna lucu giur baterai pikir tahan;-6;general negatif
menurut ku sih ya, udah harga mahal baterai boros lengkap sudah;baterai negatif, harga negatif;ku udah harga mahal baterai boros lengkap;-5;harga negatif
harusnya kalau makin canggih, baterai juga dong daya tahan nya lebih lama;baterai negatif;canggih baterai daya tahan;1;baterai negatif
iphone berguna bagi kalangan remaja ya;general positif;kalang remaja;-2;
fitur iphone selalu bikin ketagihan huaaa pgn beli iphone 11;general positif;fitur tagih huaaa pgn beli;-4;
lucu banget warna warnanya iphone 11 series;general positif;bagus warna warna series;-2;general netral
semenjak pake iphone 11 pro teman teman ku selalu meminjam untuk foto foto;general positif;semenjak teman teman ku pinjam foto foto;6;kamera positif
bingung banget mau pilih warna apa bagus semua;general positif;bingung pilih warna bagus;-4;general netral
yaAllah beri aku rejeki untuk membeli iphone 11 series pingin warna midnight keren banget;general positif;yaallah rejeki beli series pingin warna midnight keren;5;general netral
iphone 11 series warna ungu nya lucu banget;general positif;series warna ungu bagus;-2;general netral
warna ungu ataupun yang midnight sama sama bagus, tapi jujur midnight lebih keren;general positif;warna ungu midnight bagus jujur midnight keren;1;general positif
kalo udah pake iphone 11 berasa mewah banget deh haha;general positif;udah asa mewah deh;1;
buat nonton enak sih layarnya makin gede;general positif;nonton enak layar;1;general netral
rentan banget nih lamalama iphone gampang retak jatoh sekali;general negatif;rentan lamalama gampang retak jatoh;-7;
kecewa lebih suka fitur sidik jari daripada face id;general negatif, spesifikasi negatif;kecewa suka fitur sidik jari face id;-2;
makin gede aja iphone ditangan ye;general negatif;tang;0;
layarnya gampang retak;general negatif;layar gampang retak;-3;general positif
kalo udah jatoh rentan banget retak;general negatif;udah jatoh rentan retak;-8;
mau pake pelindung juga tetep retak;general negatif;lindung tetep retak;0;
model nya makin gede;general negatif;model;3;
kamera makin banyak, model nya itu aja;general negatif, kamera negatif;kamera model;3;kamera netral
tolong modelnya bikin tangan gabisa pegang, gede banget;general negatif;model tangan gabisa pegang;2;
sebel banget jatoh langsung lecet pinggirannya;general negatif;sebel jatoh langsung lecet pinggir;-10;
menurut ku sih sesuai ya harga dengan spesifikasinya;harga positif, spesifikasi positif;ku sesuai harga spesifikasi;9;harga positif
okelah harga segitu buat spesifikasi yang keren gini;harga positif, spesifikasi positif;oke harga segitu spesifikasi keren gin;5;harga positif
kata orang mahal, tapi menurut ku ya ada harga ada kualitas;harga positif;orang mahal ku harga kualitas;8;harga positif
iphone xr ga semahal apa yang gue kira haha;harga positif;xr mahal gue;1;harga positif
wajar lah harga segitu, kalo buat wanita kamera nya hey keren banget;harga positif, kamera positif;wajar harga segitu wanita kamera hey keren;-2;harga netral
iphone xr ga mahal kok, aku beli kayanya ga sampe 10 juta bahkan 9 juta kurang;harga positif;xr mahal beli kaya sampe juta juta;4;harga positif
iphone 11 masih murah sih segitu mah;harga positif;murah segitu mah;-2;harga negatif
saya yang sudah lama menjadi iphone user, saat mengetahui harga iphone 11 ya normal emang segitu kan;harga positif;harga normal segitu;1;harga positif
ga kaget sih liat harganya, sesuai lah gila sama spec nya;harga positif, spesifikasi positif;kaget liat harga sesuai spesifikasi;10;harga positif
menurut saya wajar aja harga segitu buat iphone x series ataupun 11 series, karena target pasar nya iphone memang segitu;harga positif;wajar harga segitu series series target pasar segitu;-5;harga netral
jual ginjal ini mah iphone 11 series mahal ya;harga negatif;jual ginjal mah series mahal;2;baterai netral
harga terjangkau buat yang kaya haha;harga negatif;harga jangkau kaya;3;harga positif
menguras dompet banget ya harganya;harga negatif;uras dompet harga;0;harga netral
bikin minder harganya;harga negatif;minder harga;3;harga netral
gabisa lebih mahal lagi woy iphone 11? mau beli tapi gila banget harganya;harga negatif;gabisa mahal woy beli harga;3;harga netral
kenapa sih diatas 10 juta mulu harganya;harga negatif;juta mulu harga;6;harga netral
udah canggih, harga ga canggih eh maksudnya mahal banget asli;harga negatif, general positif;udah canggih harga canggih eh maksud mahal asli;8;harga positif
wah aku kaget melihat harganya, rasa ingin menjadi sultan seketika biar bisa beli;harga negatif;kaget lihat harga sultan biar beli;3;harga positif
mahal banget, letak murah nya dari segi apa sih buat yang bilang harganya murah;harga negatif;mahal letak murah segi bilang harga murah;2;harga positif
mana yang bilang harga nya murah, mahal banget woy gabisa liat ya;harga negatif;bilang harga murah mahal woy gabisa liat;6;harga positif
spesifikasinya bagus tapi harga bikin kantong kering terimakasih;spesifikasi positif, harga negatif;spesifikasi bagus harga kantong kering terimakasih;3;harga negatif
layarnya lebar banget jadi kalo main game enak;spesifikasi positif;layar lebar main game enak;3;general positif
jelas banget sih ini layarnya mulus banget dan jernih banget kalo lagi nonton kaya lagi nonton bioskop;spesifikasi positif;layar mulus jernih nonton kaya nonton bioskop;3;general positif
suara jernih banget sih, kalo dengerin lagu kaya bass nya kerasa banget keren;spesifikasi positif;suara jernih dengerin lagu kaya bass keren;10;
keren banget bisa mode gelap gitu;spesifikasi positif;keren mode gelap;-4;
sistem operasinya tidak diragukan lagi, jadi ga lemot kalo main game;spesifikasi positif;sistem operasi ragu lot main game;-9;spesifikasi negatif
spesifikasi nya lancar sih kalo lagi menjalankan usaha online;spesifikasi positif;spesifikasi lancar jalan usaha online;2;
aku kira spesifikasinya bakal sama terus, ternyata ada aja yang bikin seneng buat punya iphone ini;spesifikasi positif;spesifikasi nyata neng;9;
gapernah kerasa lemot buka tutup antar aplikasi;spesifikasi positif;gapernah lot buka tutup aplikasi;-14;
gapernah ragu sama spesifikasinya;spesifikasi positif;gapernah ragu spesifikasi;-3;
masa udah gabisa pake headset yang colok, harus airpods bluetooth;spesifikasi negatif;udah gabisa headset colok airpods bluetooth;-1;
iphone x series ataupun 11 series udah face id terus, padahal masih suka sidik jari;spesifikasi negatif;series series udah face id suka sidik jari;-2;
selalu berasa kurang woy pake ram nya, langsung penuh padahal kaya baru dikit install aplikasi nya;spesifikasi negatif;asa woy ram langsung penuh kaya dikit install aplikasi;-4;spesifikasi negatif
jadi aneh ketika udah gaada tombol tengah nya;spesifikasi negatif;aneh udah tombol;0;
kemana woy lubang headset nya;spesifikasi negatif;woy lubang headset;-3;
gini deh kalo memori cuman internal doang, langsung penuh;spesifikasi negatif;gin deh memori cuman internal langsung penuh;3;spesifikasi positif
harga makin mahal, harusnya mendukung 5g biar nanti kalo indonesia udah masuk 5g kan ga perlu ganti hp terus;spesifikasi negatif, harga negatif;harga mahal dukung g biar indonesia udah masuk g ganti;3;harga positif
spesifikasi nya biasa aja, belum bikin wah;spesifikasi negatif;spesifikasi;3;
harusnya fitur makin bertambah, malah ada yang dikurangin dan diganti malah jadi gimana gitu;spesifikasi negatif;fitur rangin ganti gimana;0;
memori RAM nya sih yang bikin maju mundur buat beli, merasa kurang;spesifikasi negatif;memori ram maju mundur beli;-1;spesifikasi netral
suka banget ih sama kameranya iphone x bagus banget aku jadi glowing glowing manja gitu;kamera positif;suka ih kamera bagus glowing glowing manja;2;kamera negatif
iphone 11 bagus sih kameranya cocok banget buat gua kalo mau hunting foto;kamera positif;bagus kamera cocok hunting foto;2;kamera positif
iphone x cuma 2716 mAh tapi harganya sampe 10 juta lebih gak cocok banget sih;baterai negatif, harga negatif;mah harga sampe juta cocok;6;baterai positif
RAM 3 GB doang nyesel beli iphone x gak bisa dipake buat main CODM;spesifikasi negatif;ram gb nyesel beli main codm;-6;spesifikasi negatif
kalo gua sih tim iphone lah, bentuknya bagus aestetik, kameranya juga bagus gak kayak sumsang;general positif, kamera positif;tim bentuk bagus aestetik kamera bagus kayak sumsang;-7;general negatif
denger denger sumsang sering meledak, ya iyalah kualitas sumsang mah gak ada apa apanya dibanding iphone x lebih bagus diliat dari segala aspek juga;general positif;denger denger sumsang ledak iya kualitas sumsang mah banding bagus liat aspek;-10;baterai negatif
semenjak pake iphone 11 gaya dikit langsung cekrek, kameranya emang terbaik sih ini;kamera positif;semenjak gaya dikit langsung cekrek kamera;-1;kamera netral
haha iya sih iphone kameranya emang terbaik tapi gak suka sama baterainya yang cepet abis;kamera positif, baterai negatif;iya kamera suka baterai cepat abis;-2;kamera negatif
gila sih gak nyangka banget aku dibeliin iphone 11 sama bebeb warnanya ungu gitu lagi kan lucu suka deh;general positif;nyangka dibeliin bebeb warna ungu bagus suka deh;-4;general netral
kalo diliat dari spesifikasinya yang bagus gini mah harganya masih normal sih, terbaik lah iphone 11;spesifikasi positif, harga positif;liat spesifikasi bagus gin mah harga normal;6;baterai positif
dulu sebelum pake iphone gak pernah masuk fyp di tiktok, sekarang pake iphone langsung fyp emang kameranya bagus bisa memunculkan kecantikan sejati aku;kamera positif;masuk fyp tiktok langsung fyp kamera bagus muncul cantik sejati;-3;kamera negatif
kurang suka sama iphone soalnya harganya mahal walaupun spesifikasinya bagus;harga negatif, spesifikasi positif;suka harga mahal spesifikasi bagus;7;harga positif
guys kalo kalian mau tau saya ngerekam pake kamera apa saya itu cuma pake kamera dari iphone 11 guys, beli deh kameranya bagus banget;kamera positif;tau ngerekam kamera kamera beli deh kamera bagus;-7;kamera negatif
masih bahas tentang iphone nih, kenapa gua suka banget iphone karena baterainya itu awet bagus banget guys cocok buat yang suka main hp seharian;baterai positif;bahas suka baterai awet bagus cocok suka main;6;baterai positif
halah anak iphone apa sih bagusnya iphone gue gak suka kameranya jelek, gak suka harganya mahal, gak suka bentuknya jelek ngikutin samsung, gak suka baterainya juga jelek, spesifikasinya apalagi duh gak suka deh;kamera negatif, harga negatif, general negatif, baterai negatif, spesifikasi negatif;halah anak bagus gue suka kamera jelek suka harga mahal suka bentuk jelek ngikutin samsung suka baterai jelek spesifikasi suka deh;-9;kamera negatif
iphone speakernya jelek ah gak suka kresek kresek gitu;general negatif;speakernya jelek ah suka kresek kresek;-3;
apaan nih iphone ih benci banget sama hp kayak gini masa chargernya baru sebulan udah rusak;baterai negatif;ih benci kayak gin chargernya udah rusak;-5;baterai netral
itu mah lu aja yang gak bisa ngerawat bro iphone gua chargernya bagus tuh malah awet juga;baterai positif;mah ngerawat chargernya bagus tuh awet;2;baterai negatif
iphone hp berkelas, kameranya terbaik suka banget deh banyak juga youtuber yang pake iphone;kamera positif;kelas kamera suka deh youtuber;-1;kamera positif
kamera iphone tu bagus banget coy belom pernah kan lu berasa ganteng di foto haha;kamera positif;kamera bagus coy bom asa ganteng foto;2;kamera negatif
kamera iphone terbaik gak kayak samsung cuih;kamera positif;kamera kayak samsung cuih;-3;kamera negatif
menurut gue iphone itu harganya lumayan mahal sih dan gak sesuai sama spesifikasinya yang kurang bagus;harga negatif, spesifikasi negatif;gue harga lumayan mahal sesuai spesifikasi bagus;7;harga positif
Layarnya terlalu kecil terus kameranya juga kurang bagus, gagal jadi artis tiktok deh ini mah dasar iphone;general negatif, kamera negatif;layar kamera bagus gagal artis tiktok deh mah dasar;-4;general negatif
bun iphone harganya seperti bajingan;harga negatif;bun harga;3;harga netral
iphone baterainya sekarat iphone baterainya sekarat, mati lebih cepat mati lebih cepat;baterai negatif;baterai sekarat baterai sekarat mati cepat mati cepat;-8;baterai negatif
terbaring tersentak tertawa tertawa dengan air mata mengingat bodohnya harga iphone dan kita yang masih saja beli;harga negatif;baring sentak tertawa tertawa air mata bodoh harga beli;11;harga positif
iphone beranjak bangkrut spesifikasi jauh dari seharusnya bagai bintang yang jatuh mati lebih cepat;spesifikasi negatif;anjak bangkrut spesifikasi bintang jatuh mati cepat;-8;
speaker iphone menggonggong bak suara anjing bangsat;general negatif;speaker gonggong bak suara anjing bangsat;-8;general negatif
bun aku masih tak mengerti iphone harga mahalnya berenang di kepala;harga negatif;bun erti harga mahal renang kepala;5;harga positif
aku masih ada sampai di sini pakai iphone susah setengah mati UI UX nya gak bisa diganti apa ah;general negatif;pakai susah mati ui ux ganti ah;-4;
aku masih ada sampai di sini pakai iphone lemot setengah mati spesifikasinya parah banget dah;spesifikasi negatif;pakai lot mati spesifikasi parah;-8;
kau memang hp sedikit fitur bolehkah aku banting aja iphone kampret;general negatif;kau fitur banting kampret;-7;
kau memang hp tak kasat rasa masang harga mahal gila iphone gak ngotak;harga negatif;kau kasat masang harga mahal ngotak;4;harga positif
tadi pagi aku masih menangis pada iphone yang harganya mahal naudzubillah;harga negatif;pagi menang harga mahal naudzubillah;-4;harga positif
katanya mimpiku kan terwujud tapi fitur iphone itu mimpi buruk;general negatif;mimpi wujud fitur mimpi buruk;1;
sempat berpikir masih bermimpi bertahun berlanjut pakai iphone warna mu yang memudar saksinya akhirnya aku ganti aja jelek amat sih ini iphone;general negatif;pikir mimpi pakai warna pudar saksi ganti jelek;-4;general netral
Lah ini RAM segini doang seriusan iphone nih jelek banget mending advan dah;spesifikasi negatif;ram gin serius jelek advan;-10;spesifikasi negatif
iphone harga doang mahal jemput cewe depan gang;harga negatif;harga mahal jemput cewe gang;0;harga positif
seriusan nih gak ada memori eksternalnya ya ampun hp macam apa ini buruk sekali;spesifikasi negatif;serius memori eksternal ampun buruk;-12;spesifikasi negatif
iphone 11 ni hp apa dumbell sih gua pake tiga hari bicep gua gede berat amat ah jelek;general negatif;dumbell bicep berat ah jelek;-5;
ukurannya kegedan coy gak bisa masuk saku jelek banget dah ni hp;general negatif;ukur kegedan coy masuk saku jelek;-5;
hp jaman sekarang mah harusnya ada pemindai sidik jarinya lah ini iphone kok gak ada jelek banget dah;spesifikasi negatif;jaman mah pindai sidik jari jelek;-11;baterai negatif
sekarang jamannya 5g boss iphone masa belom 5g sih kuno cacat;spesifikasi negatif;jaman g boss bom g kuno cacat;-12;
port buat headset gak ada di iphone jelek banget dah mending balik pake walkman;spesifikasi negatif;port headset jelek walkman;-5;
iphone kameranya penuh kepalsuan penipu munafik calon penghuni neraka bakar aja ni hp;kamera negatif;kamera penuh palsu tipu munafik calon huni neraka bakar;-10;kamera negatif
iphone gak cocok buat foto jarak dekat jadi fotonya harus dari jauh udah kayak hubungan kita yang jauh;kamera negatif;cocok foto jarak foto udah kayak hubung;2;kamera positif
pada lebay banget sih sama kamera iphone padahal gitu doang biasa aja malah menurut gue kurang;kamera negatif;lebay kamera gue;-4;kamera netral
iphone kameranya gak bagus di tempat gelap gan;kamera negatif;kamera bagus gelap gan;-6;kamera negatif
iphone 11 bagus nih lucu warnanya;general positif;bagus bagus warna;-4;general netral
bagus sih lucu juga warnanya iphone 11;general positif;bagus bagus warna;-4;general netral
lucu banget bagus suka sama warna iphone 11;general positif;bagus bagus suka warna;-2;general netral
bentuknya bagus suka sama bentuk iphone;general positif;bentuk bagus suka bentuk;8;general positif
speaker nya mantap coy suaranya jernih keren iphone;general positif;speaker mantap coy suara jernih keren;10;general positif
layarnya jernih cocok buat nonton anime pake iphone;general positif;layar jernih cocok nonton anime;5;general positif
suka deh sama warna iphone x;general positif;suka deh warna;2;general netral
termasuk murah sih harga iphone mah sesuai sama kualitas;harga positif;masuk murah harga mah sesuai kualitas;8;harga positif
kualitas bagus harganya ya sesuai lah untuk iphone;harga positif;kualitas bagus harga sesuai;8;harga positif
bagi gua sih iphone murah ya kualitas juga oke jadi harganya pas lah;harga positif;murah kualitas oke harga pas;13;harga positif
harga iphone emang udah paling pas;harga positif;harga udah pas;6;harga positif
murah kok harganya cuma nabung 3 bulan juga udah kebeli iphone;harga positif;murah harga nabung udah kebel;4;harga positif
kualitas oke harga juga pas mantap iphone;harga positif;kualitas oke harga pas mantap;17;harga positif
cari hp berkualitas dan harga terjangkau ya iphone;harga positif;cari kualitas harga jangkau;4;harga positif
ayo buruan beli iphone mumpung harganya murah haha;harga positif;buru beli mumpung harga murah;0;harga positif
pas kok harga sama kualitas kalo untuk iphone;harga positif;pas harga kualitas;10;harga positif
ram bagus cpu bagus iphone mantap;spesifikasi positif;ram bagus cpu bagus mantap;1;spesifikasi negatif
cpu bagus nih iphone;spesifikasi positif;cpu bagus;-2;spesifikasi netral
iphone spesifikasinya bagus sih enak pakenya;spesifikasi positif;spesifikasi bagus enak pakenya;2;
butuh spek bagus buat hp ya iphone;spesifikasi positif;butuh spek bagus;-7;
mau hp spek bagus ya jelas iphone;spesifikasi positif;spek bagus;-2;
spesifikasi iphone bagus banget terbaik;spesifikasi positif;spesifikasi bagus;1;
hp yang speknya bagus ya iphone lah;spesifikasi positif;speknya bagus;-2;
iphone speknya lebih bagus daripada samsung;spesifikasi positif;speknya bagus samsung;-2;
iphone speknya bagus gak kayak hp lain;spesifikasi positif;speknya bagus kayak;-5;
kamera iphone burem mending dslr;kamera negatif;kamera burem dslr;0;kamera netral
kamera iphone susah fokus jelek ah;kamera negatif;kamera susah fokus jelek ah;-7;kamera negatif
beli iphone karena kameranya tapi ternyata bikin kecewa;kamera negatif;beli kamera nyata kecewa;1;kamera positif
kamera iphone mah jelek;kamera negatif;kamera mah jelek;-5;kamera netral
bagus baterai nya awet nih iphone;baterai positif;bagus baterai awet;-1;baterai negatif
baterainya awet kok bagus juga iphone;baterai positif;baterai awet bagus;-1;baterai positif
baterai iphone awet kayak baterai abc;baterai positif;baterai awet kayak baterai abc;-5;baterai negatif
baterai bisa seharian kok bagus iphone;baterai positif;baterai bagus;-5;baterai negatif
baterai terbaik ya iphone;baterai positif;baterai;-3;baterai netral
baterai bagus dan awet ya cuma iphone;baterai positif;baterai bagus awet;-1;baterai negatif
baterai awet nan bagus emang iphone doang sih;baterai positif;baterai awet nan bagus;-1;baterai positif
iphone emang baterainya terbaik sih;baterai positif;baterai;-3;baterai netral
iphone baterai ampas cepet abis;baterai negatif;baterai ampas cepat abis;-7;baterai negatif
iphone baterainya kayak tai;baterai negatif;baterai kayak tai;-11;baterai negatif
baterai iphone kayak anjing;baterai negatif;baterai kayak anjing;-10;baterai negatif
baterai iphone bangsat anjing tai babi;baterai negatif;baterai bangsat anjing tai;-17;baterai negatif
baterai iphone boros bangsat;baterai negatif;baterai boros bangsat;-13;baterai negatif
ukurannya ideal banget jadi enak pas digenggam;general positif;ukur ideal enak pas genggam;10;
cakep banget warna hp nya;general positif;bagus warna;-2;general netral
layar nya enak dan nyaman buat nonton film atau youtube;general positif;layar enak nyaman nonton film youtube;5;general positif
buat main oke banget sih desainnya;general positif;main oke desain;6;general netral
desain iphone 11 ini emang bagus banget pantes banyak peminat;general positif;desain bagus pantes minat;4;general netral
warna hitam nya cool banget;general positif;warna hitam cool;-2;general negatif
bisa dibilang iphone 11 ini ideal banget dari desain dan fitur nya;general positif;bilang ideal desain fitur;7;general positif
pilihan warna nya sangat menarik sampai bingung memilihnya;general positif;pilih warna tarik bingung pilih;-2;general positif
desain nya premium banget saya suka;general positif;desain premium suka;8;general positif
bentuknya desainnya bagus banget simpel tapi keren;general positif;bentuk desain bagus simpel keren;9;general positif
hp nya lumayan berat jadi gak bisa main permainan terlalu lama;general negatif;lumayan berat main main;-1;
masalah iphone 11 tuh hp nya agak berat ya;general negatif;tuh berat;0;
agak kurang sih menurut saya layar nya;general negatif;layar;0;general netral
menurut saya kegedean sih layarnya;general negatif;gede layar;0;general netral
ukurannya gede jadi gak bisa masuk saku;general negatif;ukur masuk saku;0;
menyesal beli iphone 11 sebab super berat untuk tangan saya;general negatif;sesal beli super berat tangan;-6;
desain hp nya mengkilap jadi gampang keliatan kalau ada lecet;general negatif;desain kilap gampang liat lecet;2;general positif
poni di atas layar mengganggu banget;general negatif;poni layar ganggu;-4;general netral
lebih suka android dah daripada iphone;general negatif;suka android;2;
iphone tuh terlalu eksklusif jadi susah nyambung kemanamana ga kaya android;general negatif;tuh eksklusif susah nyambung kemanamana kaya android;1;
wajar sih harga segini karena emang bagus banget;harga positif;wajar harga gin bagus;-1;harga positif
gak menyesal beli iphone dengan harga segitu;harga positif;sesal beli harga segitu;-4;harga positif
harganya wajar itung itung investasi;harga positif;harga wajar itung itung investasi;1;harga positif
asli emang bener hp ini sesuai dengan harganya mantap emang;harga positif;asli sesuai harga mantap;13;harga positif
harga nya setimpal untuk pemakaian jangka lama;harga positif;harga timpal pakai jangka;8;harga positif
iPhone X kini jauh lebih murah;harga positif;murah;1;harga netral
harga iphone x sudah lebih terjangkau;harga positif;harga jangkau;3;harga positif
gue tiap tahun beli iphone tapi isi dompet gue masih aman ko;harga positif;gue beli isi dompet gue aman;-4;
puas banget sih harga segini apalagi dipake buat bisnis ga lemot;harga positif;puas harga gin bisnis lot;4;harga positif
menurut gue harga iphone tuh sesuai sama kualitasnya;harga positif;gue harga tuh sesuai kualitas;10;harga positif
harganya lumayan mahal sih untuk rakyat jelata kaya aku;harga negatif;harga lumayan mahal rakyat jelata kaya;-2;harga negatif
emang mahal sih hp dengan harga segini;harga negatif;mahal harga gin;4;harga positif
harganya masih tetap mahal walaupun varian termurah;harga negatif;harga mahal varian murah;4;harga positif
ga sanggup beli iphone 11 cuma bisa liat ulasannya aja;harga negatif;sanggup beli liat ulas;2;
nabung satu abad baru bisa beli iphone 11;harga negatif;nabung abad beli;-1;
harga iphone x sulit diterima akal;harga negatif;harga sulit terima akal;5;harga positif
iphone 11 masih kemahalan banget padahal kualitasnya gak jauh beda sama iphone x;harga negatif;mahal kualitas beda;3;harga positif
harganya mahal bikin ciut untuk membeli;harga negatif;harga mahal ciut beli;0;harga positif
salah satu kelemahannya adalah harganya yang sangat mahal;harga negatif;salah lemah harga mahal;1;harga positif
kapan lagi coba gua jual ginjal demi boba alias iphone11;harga negatif;coba jual ginjal boba alias;2;
speknya mantap banget main pubg ga lemot;spesifikasi positif;speknya mantap main pubg lot;0;
sistem operasinya bagus banget;spesifikasi positif;sistem operasi bagus;-5;spesifikasi negatif
speknya bagus jadi enak banget buat main game dan buat kerja;spesifikasi positif;speknya bagus enak main game kerja;3;
suka banget ios pasti premium kualitasnya;spesifikasi positif;suka ios premium kualitas;8;spesifikasi positif
puas banget sistem operasinya lebih kencang dan bebas hambatan;spesifikasi positif;puas sistem operasi kencang bebas hambat;-8;spesifikasi negatif
operasinya lancar banget membantu bisnis saya;spesifikasi positif;operasi lancar bantu bisnis;5;
sistem operasi nya nyaman banget dipake dan ga lemot;spesifikasi positif;sistem operasi nyaman lot;-4;spesifikasi positif
selalu lancar jaya dan nyaman banget gak pernah lemot;spesifikasi positif;lancar jaya nyaman lot;5;
performa iphone x mumpuni banget gak usah diragukan lagi;spesifikasi positif;performa mumpuni ragu;-3;
spesifikasi iphone x lebih unggul dari segi performa;spesifikasi positif;spesifikasi unggul segi performa;-1;
kecewa karena gak ada pemindai sidik jari;spesifikasi negatif;kecewa pindai sidik jari;-4;
RAM kecil banget kapasitasnya;spesifikasi negatif;ram kapasitas;3;spesifikasi netral
ya sayangnya kaga ada memori eksternal;spesifikasi negatif;sayang kaga memori eksternal;0;spesifikasi netral
kecewa banget beberapa fitur dihilangkan oleh iphone;spesifikasi negatif;kecewa fitur hilang;-1;
kenapa kalo mau upgrade storage di icloud harus bayar;spesifikasi negatif;upgrade storage icloud bayar;-2;
gaada tempat buat sd card ga kaya android;spesifikasi negatif;sd card kaya android;0;
ribet banget harus pake splitter soalnya gabisa charge dan dengerin lagu secara bersamaan;spesifikasi negatif;ribet splitter gabisa charge dengerin lagu;1;baterai positif
kenapa sih pemindai sidik jarinya diilangin padahal hari gini kan pake masker mulu jadi ribet kalo pake pemindai wajah;spesifikasi negatif;pindai sidik jari diilangin gin masker mulu ribet pindai wajah;-7;
